OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysActivity_Census_Tract_Estimate,PhysActivity_Estimate_Confidence_Interval,PhysActivity_Map_Symbol_withinHSR,PhysActivity_County_Regional_Estimate,PhysActivity_Map_Symbol_State,PhysActivity_State_Estimate
244,8001988700,"Census Tract 9887, Adams County, Colorado",Adams,0,14,,,"No Estimate, Population < 50",County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),"No Estimate, Population < 50",State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
245,8001009104,"Census Tract 91.04, Adams County, Colorado",Adams,4066,14,23,95% C.I.: 22.4 - 23.6,Middle Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
246,8069002010,"Census Tract 20.10, Larimer County, Colorado",Larimer,2207,2,13.8,95% C.I.: 13.4 - 14.2,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
247,8069001809,"Census Tract 18.09, Larimer County, Colorado",Larimer,8246,2,15.1,95% C.I.: 14.6 - 15.6,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
248,8069001709,"Census Tract 17.09, Larimer County, Colorado",Larimer,12137,2,13.8,95% C.I.: 13.4 - 14.3,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
249,8069001708,"Census Tract 17.08, Larimer County, Colorado",Larimer,3054,2,13.6,95% C.I.: 13.1 - 14.1,Second Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
250,8069001308,"Census Tract 13.08, Larimer County, Colorado",Larimer,4326,2,13.9,95% C.I.: 13.5 - 14.5,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
251,8069000802,"Census Tract 8.02, Larimer County, Colorado",Larimer,1037,2,13,95% C.I.: 12.6 - 13.5,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
252,8069000801,"Census Tract 8.01, Larimer County, Colorado",Larimer,1329,2,13,95% C.I.: 12.6 - 13.5,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
253,8069000506,"Census Tract 5.06, Larimer County, Colorado",Larimer,3000,2,11.8,95% C.I.: 11.4 - 12.3,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
254,8069000504,"Census Tract 5.04, Larimer County, Colorado",Larimer,3041,2,12.2,95% C.I.: 11.8 - 12.7,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
255,8069000503,"Census Tract 5.03, Larimer County, Colorado",Larimer,5345,2,12.7,95% C.I.: 12.2 - 13.3,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
256,8069000402,"Census Tract 4.02, Larimer County, Colorado",Larimer,2093,2,12.3,95% C.I.: 11.9 - 12.8,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
257,8069000401,"Census Tract 4.01, Larimer County, Colorado",Larimer,1716,2,13.1,95% C.I.: 12.6 - 13.6,Second Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
258,8069000201,"Census Tract 2.01, Larimer County, Colorado",Larimer,2817,2,10.7,95% C.I.: 10.4 - 11.1,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
259,8069001902,"Census Tract 19.02, Larimer County, Colorado",Larimer,3777,2,15.1,95% C.I.: 14.6 - 15.6,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
260,8001008604,"Census Tract 86.04, Adams County, Colorado",Adams,4190,14,22.1,95% C.I.: 21.5 - 22.7,Second Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
261,8001008605,"Census Tract 86.05, Adams County, Colorado",Adams,3053,14,23.1,95% C.I.: 22.5 - 23.8,Middle Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
262,8001009553,"Census Tract 95.53, Adams County, Colorado",Adams,2565,14,24.9,95% C.I.: 24.2 - 25.7,Highest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
263,8001008706,"Census Tract 87.06, Adams County, Colorado",Adams,3671,14,24.7,95% C.I.: 24 - 25.4,Highest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
264,8001009101,"Census Tract 91.01, Adams County, Colorado",Adams,3549,14,23.6,95% C.I.: 23 - 24.3,Fourth Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
265,8001009002,"Census Tract 90.02, Adams County, Colorado",Adams,6635,14,23.2,95% C.I.: 22.6 - 23.9,Middle Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
266,8069002007,"Census Tract 20.07, Larimer County, Colorado",Larimer,2897,2,14.3,95% C.I.: 13.9 - 14.8,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
267,8069002005,"Census Tract 20.05, Larimer County, Colorado",Larimer,4001,2,14.6,95% C.I.: 14.1 - 15.1,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
268,8069002008,"Census Tract 20.08, Larimer County, Colorado",Larimer,3401,2,14.3,95% C.I.: 13.7 - 14.9,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
269,8069001903,"Census Tract 19.03, Larimer County, Colorado",Larimer,2961,2,13.7,95% C.I.: 13.3 - 14.1,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
270,8069001804,"Census Tract 18.04, Larimer County, Colorado",Larimer,3083,2,14.1,95% C.I.: 13.6 - 14.5,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
271,8069001901,"Census Tract 19.01, Larimer County, Colorado",Larimer,3293,2,14.1,95% C.I.: 13.6 - 14.6,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
272,8069001807,"Census Tract 18.07, Larimer County, Colorado",Larimer,4805,2,14.1,95% C.I.: 13.6 - 14.5,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
273,8001009308,"Census Tract 93.08, Adams County, Colorado",Adams,3376,14,25.3,95% C.I.: 24.6 - 25.9,Highest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
274,8001009001,"Census Tract 90.01, Adams County, Colorado",Adams,3410,14,23.5,95% C.I.: 22.8 - 24.2,Fourth Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
275,8001009306,"Census Tract 93.06, Adams County, Colorado",Adams,2816,14,23.6,95% C.I.: 22.9 - 24.2,Fourth Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
276,8001009318,"Census Tract 93.18, Adams County, Colorado",Adams,4510,14,24.1,95% C.I.: 23.4 - 24.7,Highest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
277,8001008705,"Census Tract 87.05, Adams County, Colorado",Adams,3694,14,24,95% C.I.: 23.3 - 24.7,Highest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
278,8001008533,"Census Tract 85.33, Adams County, Colorado",Adams,5834,14,21.5,95% C.I.: 20.9 - 22.1,Lowest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
279,8001009204,"Census Tract 92.04, Adams County, Colorado",Adams,5728,14,21.8,95% C.I.: 21.2 - 22.5,Second Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
280,8001008507,"Census Tract 85.07, Adams County, Colorado",Adams,4960,14,22.2,95% C.I.: 21.6 - 22.7,Middle Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
281,8069001707,"Census Tract 17.07, Larimer County, Colorado",Larimer,4432,2,15,95% C.I.: 14.5 - 15.6,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
282,8069001806,"Census Tract 18.06, Larimer County, Colorado",Larimer,6402,2,14.6,95% C.I.: 14.1 - 15.2,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
283,8069001704,"Census Tract 17.04, Larimer County, Colorado",Larimer,7252,2,14.3,95% C.I.: 13.8 - 14.8,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
284,8069001706,"Census Tract 17.06, Larimer County, Colorado",Larimer,5316,2,14.3,95% C.I.: 13.8 - 14.7,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
285,8069001109,"Census Tract 11.09, Larimer County, Colorado",Larimer,3578,2,13.5,95% C.I.: 13 - 13.9,Second Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
286,8069001106,"Census Tract 11.06, Larimer County, Colorado",Larimer,4021,2,13.5,95% C.I.: 13 - 13.9,Second Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
287,8069001111,"Census Tract 11.11, Larimer County, Colorado",Larimer,2161,2,14.1,95% C.I.: 13.6 - 14.7,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
288,8001009203,"Census Tract 92.03, Adams County, Colorado",Adams,3009,14,22.4,95% C.I.: 21.8 - 23.1,Middle Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
289,8001008505,"Census Tract 85.05, Adams County, Colorado",Adams,5419,14,22.1,95% C.I.: 21.5 - 22.6,Second Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
290,8001008506,"Census Tract 85.06, Adams County, Colorado",Adams,4933,14,21.9,95% C.I.: 21.3 - 22.5,Second Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
291,8001009501,"Census Tract 95.01, Adams County, Colorado",Adams,2321,14,23.4,95% C.I.: 22.8 - 24.1,Fourth Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
292,8001009502,"Census Tract 95.02, Adams County, Colorado",Adams,3383,14,23.5,95% C.I.: 22.8 - 24.3,Fourth Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
293,8001009309,"Census Tract 93.09, Adams County, Colorado",Adams,3117,14,23.5,95% C.I.: 22.7 - 24.2,Fourth Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
294,8001009310,"Census Tract 93.10, Adams County, Colorado",Adams,4211,14,24.6,95% C.I.: 24 - 25.3,Highest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
295,8001009319,"Census Tract 93.19, Adams County, Colorado",Adams,1702,14,24.5,95% C.I.: 23.9 - 25.1,Highest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
296,8069001110,"Census Tract 11.10, Larimer County, Colorado",Larimer,4787,2,12.1,95% C.I.: 11.6 - 12.6,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
297,8069001008,"Census Tract 10.08, Larimer County, Colorado",Larimer,1643,2,13.3,95% C.I.: 12.8 - 13.7,Second Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
298,8069001004,"Census Tract 10.04, Larimer County, Colorado",Larimer,2626,2,13.9,95% C.I.: 13.4 - 14.4,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
299,8069001003,"Census Tract 10.03, Larimer County, Colorado",Larimer,4090,2,13.3,95% C.I.: 12.8 - 13.8,Second Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
300,8069000902,"Census Tract 9.02, Larimer County, Colorado",Larimer,2993,2,13.8,95% C.I.: 13.3 - 14.4,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
301,8069001603,"Census Tract 16.03, Larimer County, Colorado",Larimer,4185,2,15.3,95% C.I.: 14.7 - 15.9,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
302,8069000901,"Census Tract 9.01, Larimer County, Colorado",Larimer,4742,2,13.2,95% C.I.: 12.8 - 13.7,Second Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
303,8069001304,"Census Tract 13.04, Larimer County, Colorado",Larimer,1803,2,21.5,95% C.I.: 20.5 - 22.5,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
304,8069000700,"Census Tract 7, Larimer County, Colorado",Larimer,2545,2,12,95% C.I.: 11.6 - 12.4,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
305,8001009316,"Census Tract 93.16, Adams County, Colorado",Adams,5222,14,25.2,95% C.I.: 24.6 - 25.8,Highest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
306,8001009603,"Census Tract 96.03, Adams County, Colorado",Adams,4509,14,21.9,95% C.I.: 21.3 - 22.5,Second Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
307,8001009321,"Census Tract 93.21, Adams County, Colorado",Adams,2796,14,22.7,95% C.I.: 22.1 - 23.3,Middle Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
308,8001009407,"Census Tract 94.07, Adams County, Colorado",Adams,3919,14,22.8,95% C.I.: 22.1 - 23.4,Middle Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
309,8001009323,"Census Tract 93.23, Adams County, Colorado",Adams,2934,14,21.9,95% C.I.: 21.3 - 22.5,Second Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
310,8001009411,"Census Tract 94.11, Adams County, Colorado",Adams,2422,14,21.3,95% C.I.: 20.8 - 21.9,Lowest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
311,8001009307,"Census Tract 93.07, Adams County, Colorado",Adams,2775,14,23.7,95% C.I.: 23 - 24.4,Highest Quintile,County/Regional Estimate 22.9% (95% C.I.: 20.8 - 25),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
312,8069000600,"Census Tract 6, Larimer County, Colorado",Larimer,6433,2,12.1,95% C.I.: 11.6 - 12.6,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
313,8069001009,"Census Tract 10.09, Larimer County, Colorado",Larimer,4613,2,13.7,95% C.I.: 13.3 - 14.2,Middle Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
314,8069000100,"Census Tract 1, Larimer County, Colorado",Larimer,2442,2,12.7,95% C.I.: 12.3 - 13.2,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
315,8069002300,"Census Tract 23, Larimer County, Colorado",Larimer,2688,2,13.3,95% C.I.: 12.8 - 13.7,Second Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
316,8069001602,"Census Tract 16.02, Larimer County, Colorado",Larimer,3864,2,14.8,95% C.I.: 14.2 - 15.3,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
317,8069001306,"Census Tract 13.06, Larimer County, Colorado",Larimer,1920,2,13.7,95% C.I.: 13 - 14.5,Second Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
318,8069001305,"Census Tract 13.05, Larimer County, Colorado",Larimer,1929,2,13.4,95% C.I.: 12.9 - 14,Second Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
319,8059010209,"Census Tract 102.09, Jefferson County, Colorado",Jefferson,4893,21,15.1,95% C.I.: 14.6 - 15.7,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
320,8059010305,"Census Tract 103.05, Jefferson County, Colorado",Jefferson,3053,21,13.4,95% C.I.: 12.9 - 13.8,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
321,8059009832,"Census Tract 98.32, Jefferson County, Colorado",Jefferson,2276,21,14.3,95% C.I.: 13.9 - 14.8,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
322,8059009833,"Census Tract 98.33, Jefferson County, Colorado",Jefferson,4615,21,14.6,95% C.I.: 14.1 - 15.1,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
323,8059009834,"Census Tract 98.34, Jefferson County, Colorado",Jefferson,3658,21,15,95% C.I.: 14.6 - 15.4,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
324,8059009831,"Census Tract 98.31, Jefferson County, Colorado",Jefferson,2249,21,13.5,95% C.I.: 12.9 - 14.2,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
325,8059010210,"Census Tract 102.10, Jefferson County, Colorado",Jefferson,3027,21,15.1,95% C.I.: 14.7 - 15.5,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
326,8059010206,"Census Tract 102.06, Jefferson County, Colorado",Jefferson,3251,21,13.7,95% C.I.: 13.4 - 14,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
327,8059009835,"Census Tract 98.35, Jefferson County, Colorado",Jefferson,3106,21,15.1,95% C.I.: 14.7 - 15.5,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
328,8059009828,"Census Tract 98.28, Jefferson County, Colorado",Jefferson,4354,21,15.5,95% C.I.: 15 - 15.9,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
329,8059010205,"Census Tract 102.05, Jefferson County, Colorado",Jefferson,1951,21,15.8,95% C.I.: 15.5 - 16.2,Highest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
330,8059010303,"Census Tract 103.03, Jefferson County, Colorado",Jefferson,4335,21,14.5,95% C.I.: 14.1 - 14.9,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
331,8087000600,"Census Tract 6, Morgan County, Colorado",Morgan,4253,1,23.6,95% C.I.: 21.1 - 27.2,Second Quintile,County/Regional Estimate 27.2% (95% C.I.: 19.6 - 34.8),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
332,8087000200,"Census Tract 2, Morgan County, Colorado",Morgan,2217,1,25.9,95% C.I.: 23.9 - 28.2,Fourth Quintile,County/Regional Estimate 27.2% (95% C.I.: 19.6 - 34.8),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
333,8087000100,"Census Tract 1, Morgan County, Colorado",Morgan,2135,1,24.8,95% C.I.: 22.7 - 27.4,Middle Quintile,County/Regional Estimate 27.2% (95% C.I.: 19.6 - 34.8),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
334,8087000500,"Census Tract 5, Morgan County, Colorado",Morgan,1801,1,24,95% C.I.: 21.6 - 27.1,Second Quintile,County/Regional Estimate 27.2% (95% C.I.: 19.6 - 34.8),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
335,8087000800,"Census Tract 8, Morgan County, Colorado",Morgan,1425,1,25.4,95% C.I.: 23.4 - 27.6,Middle Quintile,County/Regional Estimate 27.2% (95% C.I.: 19.6 - 34.8),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
336,8087000400,"Census Tract 4, Morgan County, Colorado",Morgan,3094,1,25.6,95% C.I.: 23.2 - 28.2,Middle Quintile,County/Regional Estimate 27.2% (95% C.I.: 19.6 - 34.8),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
337,8087000300,"Census Tract 3, Morgan County, Colorado",Morgan,1686,1,26.1,95% C.I.: 23.9 - 29.1,Fourth Quintile,County/Regional Estimate 27.2% (95% C.I.: 19.6 - 34.8),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
338,8087000700,"Census Tract 7, Morgan County, Colorado",Morgan,4086,1,23.7,95% C.I.: 21.7 - 26.5,Second Quintile,County/Regional Estimate 27.2% (95% C.I.: 19.6 - 34.8),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
339,8059009830,"Census Tract 98.30, Jefferson County, Colorado",Jefferson,1856,21,14.9,95% C.I.: 14.4 - 15.4,Fourth Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
340,8059009829,"Census Tract 98.29, Jefferson County, Colorado",Jefferson,1445,21,13.5,95% C.I.: 13.1 - 13.9,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
341,8059010212,"Census Tract 102.12, Jefferson County, Colorado",Jefferson,3435,21,14.4,95% C.I.: 14 - 14.9,Middle Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
342,8059009824,"Census Tract 98.24, Jefferson County, Colorado",Jefferson,3770,21,13.5,95% C.I.: 13 - 13.9,Lowest Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
343,8059009823,"Census Tract 98.23, Jefferson County, Colorado",Jefferson,3697,21,13.9,95% C.I.: 13.6 - 14.3,Second Quintile,County/Regional Estimate 14.6% (95% C.I.: 13.1 - 16.1),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
