OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysActivity_Census_Tract_Estimate,PhysActivity_Estimate_Confidence_Interval,PhysActivity_Map_Symbol_withinHSR,PhysActivity_County_Regional_Estimate,PhysActivity_Map_Symbol_State,PhysActivity_State_Estimate
1060,8041003709,"Census Tract 37.09, El Paso County, Colorado",El Paso,5297,4,17.7,95% C.I.: 17.3 - 18.1,Second Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1061,8041007400,"Census Tract 74, El Paso County, Colorado",El Paso,6755,4,17.6,95% C.I.: 17.2 - 18,Second Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1062,8041003707,"Census Tract 37.07, El Paso County, Colorado",El Paso,3013,4,17.6,95% C.I.: 17.3 - 18,Second Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1063,8041003708,"Census Tract 37.08, El Paso County, Colorado",El Paso,2151,4,18.2,95% C.I.: 17.7 - 18.7,Fourth Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1064,8041006502,"Census Tract 65.02, El Paso County, Colorado",El Paso,4840,4,19.2,95% C.I.: 18.6 - 19.9,Highest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1065,8041006600,"Census Tract 66, El Paso County, Colorado",El Paso,2070,4,17.7,95% C.I.: 17.3 - 18,Second Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1066,8041006501,"Census Tract 65.01, El Paso County, Colorado",El Paso,2618,4,20.7,95% C.I.: 20 - 21.4,Highest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1067,8041006400,"Census Tract 64, El Paso County, Colorado",El Paso,5247,4,19.4,95% C.I.: 18.7 - 20,Highest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1068,8041005601,"Census Tract 56.01, El Paso County, Colorado",El Paso,3913,4,17.8,95% C.I.: 17.4 - 18.3,Middle Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1069,8041005400,"Census Tract 54, El Paso County, Colorado",El Paso,3932,4,20.3,95% C.I.: 19.6 - 21,Highest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
