OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HeartDisease_Census_Tract_Estimate,HeartDisease_Estimate_Confidence_Interval,HeartDisease_Map_Symbol_withinHSR,HeartDisease_County_Regional_Estimate,HeartDisease_Map_Symbol_State,HeartDisease_State_Estimate
33,8037000301,"Census Tract 3.01, Eagle County, Colorado",Eagle,4847,12,2.5,95% C.I.: 2.1 - 3.5,Middle Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
34,8037000702,"Census Tract 7.02, Eagle County, Colorado",Eagle,1428,12,1.9,95% C.I.: 1.6 - 3.1,Second Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
35,8037000402,"Census Tract 4.02, Eagle County, Colorado",Eagle,3591,12,2.5,95% C.I.: 2.1 - 3.6,Middle Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
36,8037000501,"Census Tract 5.01, Eagle County, Colorado",Eagle,590,12,2.3,95% C.I.: 1.9 - 3.5,Middle Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
37,8037000502,"Census Tract 5.02, Eagle County, Colorado",Eagle,3371,12,1.2,95% C.I.: 1 - 2.3,Lowest Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
38,8037000302,"Census Tract 3.02, Eagle County, Colorado",Eagle,1834,12,2.8,95% C.I.: 2.3 - 3.6,Fourth Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
39,8037000403,"Census Tract 4.03, Eagle County, Colorado",Eagle,5966,12,2,95% C.I.: 1.7 - 2.8,Second Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
40,8037000701,"Census Tract 7.01, Eagle County, Colorado",Eagle,1326,12,1.2,95% C.I.: 1 - 2,Second Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
41,8037000401,"Census Tract 4.01, Eagle County, Colorado",Eagle,3403,12,2,95% C.I.: 1.8 - 3,Second Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
42,8037000503,"Census Tract 5.03, Eagle County, Colorado",Eagle,4804,12,2.3,95% C.I.: 2 - 3.9,Middle Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
43,8037000100,"Census Tract 1, Eagle County, Colorado",Eagle,1204,12,2.6,95% C.I.: 2.2 - 3.7,Fourth Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
44,8037000600,"Census Tract 6, Eagle County, Colorado",Eagle,1354,12,2.6,95% C.I.: 2.2 - 4,Fourth Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
45,8037000200,"Census Tract 2, Eagle County, Colorado",Eagle,5529,12,2.8,95% C.I.: 2.4 - 3.6,Fourth Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
46,8045951901,"Census Tract 9519.01, Garfield County, Colorado",Garfield,3467,12,3.2,95% C.I.: 2.9 - 3.9,Highest Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
47,8045951701,"Census Tract 9517.01, Garfield County, Colorado",Garfield,3103,12,3.1,95% C.I.: 2.8 - 4.2,Highest Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
48,8045951902,"Census Tract 9519.02, Garfield County, Colorado",Garfield,5234,12,2.8,95% C.I.: 2.4 - 3.6,Fourth Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
49,8045951702,"Census Tract 9517.02, Garfield County, Colorado",Garfield,2948,12,2.3,95% C.I.: 2 - 3,Middle Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
50,8045952001,"Census Tract 9520.01, Garfield County, Colorado",Garfield,3716,12,4.2,95% C.I.: 3.7 - 5.5,Highest Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
51,8045952002,"Census Tract 9520.02, Garfield County, Colorado",Garfield,5960,12,2.7,95% C.I.: 2.4 - 3.5,Fourth Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
52,8045951803,"Census Tract 9518.03, Garfield County, Colorado",Garfield,4590,12,2.9,95% C.I.: 2.6 - 3.9,Fourth Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
53,8045951804,"Census Tract 9518.04, Garfield County, Colorado",Garfield,3152,12,3.9,95% C.I.: 3.5 - 4.8,Highest Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
54,8045951802,"Census Tract 9518.02, Garfield County, Colorado",Garfield,2946,12,3,95% C.I.: 2.6 - 3.8,Highest Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
55,8045952100,"Census Tract 9521, Garfield County, Colorado",Garfield,5069,12,3.1,95% C.I.: 2.8 - 4.4,Highest Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
56,8067970704,"Census Tract 9707.04, La Plata County, Colorado",La Plata,3333,9,3,95% C.I.: 2.7 - 3.7,Fourth Quintile,County/Regional Estimate 2.1% (95% C.I.: 1.1 - 3.1),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
57,8067970703,"Census Tract 9707.03, La Plata County, Colorado",La Plata,4471,9,2.3,95% C.I.: 2 - 3,Middle Quintile,County/Regional Estimate 2.1% (95% C.I.: 1.1 - 3.1),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
58,8067970701,"Census Tract 9707.01, La Plata County, Colorado",La Plata,3965,9,2.1,95% C.I.: 1.9 - 3.1,Second Quintile,County/Regional Estimate 2.1% (95% C.I.: 1.1 - 3.1),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
59,8067940300,"Census Tract 9403, La Plata County, Colorado",La Plata,4760,9,2.1,95% C.I.: 1.8 - 3.7,Second Quintile,County/Regional Estimate 2.1% (95% C.I.: 1.1 - 3.1),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
60,8097000500,"Census Tract 5, Pitkin County, Colorado",Pitkin,1867,12,0.4,95% C.I.: 0.3 - 2.8,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0.1 - 2.4),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
61,8097000401,"Census Tract 4.01, Pitkin County, Colorado",Pitkin,4147,12,1,95% C.I.: 0.8 - 2.3,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0.1 - 2.4),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
