OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HeartDisease_Census_Tract_Estimate,HeartDisease_Estimate_Confidence_Interval,HeartDisease_Map_Symbol_withinHSR,HeartDisease_County_Regional_Estimate,HeartDisease_Map_Symbol_State,HeartDisease_State_Estimate
576,8011966700,"Census Tract 9667, Bent County, Colorado",Bent,4903,6,10.8,95% C.I.: 8 - 17.3,Highest Quintile,County/Regional Estimate 11.9% (95% C.I.: 2.9 - 21),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
577,8017960600,"Census Tract 9606, Cheyenne County, Colorado",Cheyenne,1464,5,3.9,95% C.I.: 2.2 - 9.8,Highest Quintile,County/Regional Estimate 4.7% (95% C.I.: 0 - 10.3),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
578,8039961209,"Census Tract 9612.09, Elbert County, Colorado",Elbert,1672,5,3.4,95% C.I.: 2.8 - 4.7,Middle Quintile,County/Regional Estimate 3.2% (95% C.I.: 1.5 - 4.8),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
579,8039961208,"Census Tract 9612.08, Elbert County, Colorado",Elbert,2562,5,3.5,95% C.I.: 3.1 - 5.6,Fourth Quintile,County/Regional Estimate 3.2% (95% C.I.: 1.5 - 4.8),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
580,8039961207,"Census Tract 9612.07, Elbert County, Colorado",Elbert,2934,5,3.1,95% C.I.: 2.7 - 5,Middle Quintile,County/Regional Estimate 3.2% (95% C.I.: 1.5 - 4.8),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
581,8039961206,"Census Tract 9612.06, Elbert County, Colorado",Elbert,2996,5,3,95% C.I.: 2.6 - 5.1,Middle Quintile,County/Regional Estimate 3.2% (95% C.I.: 1.5 - 4.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
582,8039961205,"Census Tract 9612.05, Elbert County, Colorado",Elbert,1499,5,4.2,95% C.I.: 3.7 - 5.9,Highest Quintile,County/Regional Estimate 3.2% (95% C.I.: 1.5 - 4.8),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
583,8039961204,"Census Tract 9612.04, Elbert County, Colorado",Elbert,5762,5,2.8,95% C.I.: 2.5 - 4.9,Second Quintile,County/Regional Estimate 3.2% (95% C.I.: 1.5 - 4.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
584,8039961100,"Census Tract 9611, Elbert County, Colorado",Elbert,1649,5,4.9,95% C.I.: 4.2 - 6.4,Highest Quintile,County/Regional Estimate 3.2% (95% C.I.: 1.5 - 4.8),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
585,8001007802,"Census Tract 78.02, Adams County, Colorado",Adams,3078,14,2.1,95% C.I.: 2 - 2.6,Lowest Quintile,County/Regional Estimate 2.8% (95% C.I.: 2.1 - 3.4),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
586,8023972700,"Census Tract 9727, Costilla County, Colorado",Costilla,1402,8,1.1,95% C.I.: 0.7 - 18.8,Lowest Quintile,County/Regional Estimate 1.1% (95% C.I.: 0 - 2.5),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
587,8023972600,"Census Tract 9726, Costilla County, Colorado",Costilla,1561,8,2.9,95% C.I.: 1.8 - 14.3,Fourth Quintile,County/Regional Estimate 1.1% (95% C.I.: 0 - 2.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
588,8001008200,"Census Tract 82, Adams County, Colorado",Adams,4038,14,2.8,95% C.I.: 2.7 - 3.2,Fourth Quintile,County/Regional Estimate 2.8% (95% C.I.: 2.1 - 3.4),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
589,8059010406,"Census Tract 104.06, Jefferson County, Colorado",Jefferson,1936,21,1.7,95% C.I.: 1.6 - 1.9,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
590,8059011100,"Census Tract 111, Jefferson County, Colorado",Jefferson,4888,21,2.9,95% C.I.: 2.7 - 3.2,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
591,8059011723,"Census Tract 117.23, Jefferson County, Colorado",Jefferson,2933,21,2.7,95% C.I.: 2.6 - 2.9,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
592,8059012057,"Census Tract 120.57, Jefferson County, Colorado",Jefferson,4584,21,2.4,95% C.I.: 2.3 - 2.5,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
593,8099000700,"Census Tract 7, Prowers County, Colorado",Prowers,1566,6,10.2,95% C.I.: 8.9 - 13.5,Highest Quintile,County/Regional Estimate 8% (95% C.I.: 4 - 12),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
594,8059012050,"Census Tract 120.50, Jefferson County, Colorado",Jefferson,3116,21,2.9,95% C.I.: 2.8 - 3.1,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
595,8059011724,"Census Tract 117.24, Jefferson County, Colorado",Jefferson,4218,21,2.7,95% C.I.: 2.6 - 2.8,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
596,8059009807,"Census Tract 98.07, Jefferson County, Colorado",Jefferson,1491,21,4.4,95% C.I.: 4.2 - 4.7,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
597,8059009806,"Census Tract 98.06, Jefferson County, Colorado",Jefferson,3017,21,4.3,95% C.I.: 4.1 - 4.6,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
598,8059010402,"Census Tract 104.02, Jefferson County, Colorado",Jefferson,4289,21,2.4,95% C.I.: 2.3 - 2.6,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
599,8059011729,"Census Tract 117.29, Jefferson County, Colorado",Jefferson,3257,21,2.2,95% C.I.: 2.1 - 2.5,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
600,8059010000,"Census Tract 100, Jefferson County, Colorado",Jefferson,5094,21,1.4,95% C.I.: 1.3 - 1.7,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
601,8059012041,"Census Tract 120.41, Jefferson County, Colorado",Jefferson,4452,21,2.9,95% C.I.: 2.7 - 3,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
602,8073961700,"Census Tract 9617, Lincoln County, Colorado",Lincoln,3142,5,2.4,95% C.I.: 1 - 6,Lowest Quintile,County/Regional Estimate 2.3% (95% C.I.: 0.1 - 4.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
603,8073961800,"Census Tract 9618, Lincoln County, Colorado",Lincoln,1280,5,3.8,95% C.I.: 2.6 - 7.4,Fourth Quintile,County/Regional Estimate 2.3% (95% C.I.: 0.1 - 4.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
604,8059980400,"Census Tract 9804, Jefferson County, Colorado",Jefferson,1305,21,,,"No Estimate, Population < 50",County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),"No Estimate, Population < 50",State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
605,8059015800,"Census Tract 158, Jefferson County, Colorado",Jefferson,3382,21,2.8,95% C.I.: 2.7 - 3,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
606,8059011401,"Census Tract 114.01, Jefferson County, Colorado",Jefferson,2288,21,1.7,95% C.I.: 1.6 - 2,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
607,8059012059,"Census Tract 120.59, Jefferson County, Colorado",Jefferson,2419,21,3,95% C.I.: 2.9 - 3.2,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
608,8059009849,"Census Tract 98.49, Jefferson County, Colorado",Jefferson,4532,21,2.1,95% C.I.: 2 - 2.3,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
609,8059012060,"Census Tract 120.60, Jefferson County, Colorado",Jefferson,2526,21,2.3,95% C.I.: 2.2 - 2.6,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
610,8059011805,"Census Tract 118.05, Jefferson County, Colorado",Jefferson,4418,21,1.3,95% C.I.: 1.3 - 1.7,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
611,8059011806,"Census Tract 118.06, Jefferson County, Colorado",Jefferson,4001,21,2.8,95% C.I.: 2.7 - 3.1,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
612,8059011733,"Census Tract 117.33, Jefferson County, Colorado",Jefferson,1118,21,2.7,95% C.I.: 2.5 - 3,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
613,8099000200,"Census Tract 2, Prowers County, Colorado",Prowers,1940,6,7.8,95% C.I.: 6.7 - 13,Fourth Quintile,County/Regional Estimate 8% (95% C.I.: 4 - 12),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
614,8099000100,"Census Tract 1, Prowers County, Colorado",Prowers,1066,6,10,95% C.I.: 8.9 - 12.5,Highest Quintile,County/Regional Estimate 8% (95% C.I.: 4 - 12),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
615,8099000300,"Census Tract 3, Prowers County, Colorado",Prowers,3380,6,9.1,95% C.I.: 7.9 - 12.2,Highest Quintile,County/Regional Estimate 8% (95% C.I.: 4 - 12),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
616,8099000600,"Census Tract 6, Prowers County, Colorado",Prowers,1055,6,9.6,95% C.I.: 8.4 - 12.9,Highest Quintile,County/Regional Estimate 8% (95% C.I.: 4 - 12),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
617,8059011732,"Census Tract 117.32, Jefferson County, Colorado",Jefferson,4344,21,1.3,95% C.I.: 1.2 - 1.5,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
618,8059011402,"Census Tract 114.02, Jefferson County, Colorado",Jefferson,3646,21,2,95% C.I.: 1.9 - 2.3,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
619,8059015900,"Census Tract 159, Jefferson County, Colorado",Jefferson,2823,21,2.2,95% C.I.: 2.1 - 2.5,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
620,8059009850,"Census Tract 98.50, Jefferson County, Colorado",Jefferson,2050,21,3.8,95% C.I.: 3.7 - 4,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
621,8059009852,"Census Tract 98.52, Jefferson County, Colorado",Jefferson,3152,21,3.6,95% C.I.: 3.5 - 3.8,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
622,8059012047,"Census Tract 120.47, Jefferson County, Colorado",Jefferson,3283,21,2.4,95% C.I.: 2.3 - 2.6,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
623,8059011712,"Census Tract 117.12, Jefferson County, Colorado",Jefferson,3513,21,3.6,95% C.I.: 3.4 - 3.8,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
624,8059010901,"Census Tract 109.01, Jefferson County, Colorado",Jefferson,4020,21,3.2,95% C.I.: 3.1 - 3.4,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
625,8059012032,"Census Tract 120.32, Jefferson County, Colorado",Jefferson,2024,21,4.2,95% C.I.: 4 - 4.3,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
626,8059012033,"Census Tract 120.33, Jefferson County, Colorado",Jefferson,2206,21,3.5,95% C.I.: 3.4 - 3.7,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
627,8059009843,"Census Tract 98.43, Jefferson County, Colorado",Jefferson,5982,21,3.1,95% C.I.: 3 - 3.2,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
628,8059012027,"Census Tract 120.27, Jefferson County, Colorado",Jefferson,2776,21,3.8,95% C.I.: 3.6 - 4,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
629,8059010405,"Census Tract 104.05, Jefferson County, Colorado",Jefferson,2187,21,2.3,95% C.I.: 2.2 - 2.6,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
630,8059012026,"Census Tract 120.26, Jefferson County, Colorado",Jefferson,2715,21,3.4,95% C.I.: 3.3 - 3.6,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
631,8059012035,"Census Tract 120.35, Jefferson County, Colorado",Jefferson,3808,21,3.1,95% C.I.: 3 - 3.3,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
632,8059012037,"Census Tract 120.37, Jefferson County, Colorado",Jefferson,2956,21,3.2,95% C.I.: 3.1 - 3.4,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
633,8059012031,"Census Tract 120.31, Jefferson County, Colorado",Jefferson,3394,21,2.9,95% C.I.: 2.8 - 3.1,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
634,8059012030,"Census Tract 120.30, Jefferson County, Colorado",Jefferson,3155,21,3.3,95% C.I.: 3.2 - 3.5,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
635,8059009900,"Census Tract 99, Jefferson County, Colorado",Jefferson,2085,21,2.7,95% C.I.: 2.6 - 2.9,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
636,8059009846,"Census Tract 98.46, Jefferson County, Colorado",Jefferson,3407,21,4.5,95% C.I.: 4.3 - 4.7,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
637,8059009847,"Census Tract 98.47, Jefferson County, Colorado",Jefferson,2376,21,3.8,95% C.I.: 3.7 - 3.9,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
638,8059012023,"Census Tract 120.23, Jefferson County, Colorado",Jefferson,2624,21,3,95% C.I.: 2.8 - 3.1,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
639,8059012048,"Census Tract 120.48, Jefferson County, Colorado",Jefferson,1861,21,4.6,95% C.I.: 4.5 - 4.8,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
640,8059009848,"Census Tract 98.48, Jefferson County, Colorado",Jefferson,2023,21,4.9,95% C.I.: 4.6 - 5.1,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
641,8059009845,"Census Tract 98.45, Jefferson County, Colorado",Jefferson,3311,21,4.3,95% C.I.: 4.2 - 4.5,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
642,8059009842,"Census Tract 98.42, Jefferson County, Colorado",Jefferson,2678,21,3.3,95% C.I.: 3.2 - 3.5,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
643,8059012042,"Census Tract 120.42, Jefferson County, Colorado",Jefferson,3156,21,2.5,95% C.I.: 2.4 - 2.7,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
644,8059012058,"Census Tract 120.58, Jefferson County, Colorado",Jefferson,3065,21,3.6,95% C.I.: 3.4 - 3.7,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
645,8059011720,"Census Tract 117.20, Jefferson County, Colorado",Jefferson,4042,21,3.3,95% C.I.: 3.1 - 3.6,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
646,8059012054,"Census Tract 120.54, Jefferson County, Colorado",Jefferson,3188,21,3,95% C.I.: 2.9 - 3.2,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
647,8059011803,"Census Tract 118.03, Jefferson County, Colorado",Jefferson,4333,21,2,95% C.I.: 1.9 - 2.3,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
648,8059011602,"Census Tract 116.02, Jefferson County, Colorado",Jefferson,3377,21,2.3,95% C.I.: 2.2 - 2.6,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
649,8059010603,"Census Tract 106.03, Jefferson County, Colorado",Jefferson,3067,21,2.6,95% C.I.: 2.5 - 2.8,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
650,8059012039,"Census Tract 120.39, Jefferson County, Colorado",Jefferson,4183,21,2.3,95% C.I.: 2.2 - 2.5,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
651,8059010100,"Census Tract 101, Jefferson County, Colorado",Jefferson,3782,21,2.1,95% C.I.: 2 - 2.3,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
652,8059012036,"Census Tract 120.36, Jefferson County, Colorado",Jefferson,2887,21,3.1,95% C.I.: 2.9 - 3.2,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
653,8059012051,"Census Tract 120.51, Jefferson County, Colorado",Jefferson,2720,21,3.9,95% C.I.: 3.7 - 4.1,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
654,8059012055,"Census Tract 120.55, Jefferson County, Colorado",Jefferson,2978,21,3.3,95% C.I.: 3.1 - 3.5,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
655,8059012052,"Census Tract 120.52, Jefferson County, Colorado",Jefferson,4118,21,2.6,95% C.I.: 2.5 - 2.7,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
656,8059012046,"Census Tract 120.46, Jefferson County, Colorado",Jefferson,1608,21,2.9,95% C.I.: 2.8 - 3.2,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
657,8059012024,"Census Tract 120.24, Jefferson County, Colorado",Jefferson,3886,21,3.5,95% C.I.: 3.4 - 3.7,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
658,8059012022,"Census Tract 120.22, Jefferson County, Colorado",Jefferson,4592,21,2.7,95% C.I.: 2.6 - 2.9,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
659,8059012045,"Census Tract 120.45, Jefferson County, Colorado",Jefferson,4540,21,2.9,95% C.I.: 2.8 - 3.1,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
660,8059011904,"Census Tract 119.04, Jefferson County, Colorado",Jefferson,1856,21,3.3,95% C.I.: 3.2 - 3.6,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
661,8059011728,"Census Tract 117.28, Jefferson County, Colorado",Jefferson,2271,21,3.8,95% C.I.: 3.6 - 4,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
662,8059011702,"Census Tract 117.02, Jefferson County, Colorado",Jefferson,4595,21,3.7,95% C.I.: 3.5 - 4,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
663,8059011701,"Census Tract 117.01, Jefferson County, Colorado",Jefferson,3842,21,3.4,95% C.I.: 3.2 - 3.5,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
664,8059012049,"Census Tract 120.49, Jefferson County, Colorado",Jefferson,3046,21,3.2,95% C.I.: 3.1 - 3.4,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
665,8059011730,"Census Tract 117.30, Jefferson County, Colorado",Jefferson,2724,21,2.2,95% C.I.: 2 - 2.5,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
666,8059011727,"Census Tract 117.27, Jefferson County, Colorado",Jefferson,2911,21,4,95% C.I.: 3.8 - 4.3,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
667,8059012053,"Census Tract 120.53, Jefferson County, Colorado",Jefferson,3119,21,3.3,95% C.I.: 3.2 - 3.5,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
668,8059011202,"Census Tract 112.02, Jefferson County, Colorado",Jefferson,4036,21,2.7,95% C.I.: 2.6 - 2.9,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
669,8059011804,"Census Tract 118.04, Jefferson County, Colorado",Jefferson,3658,21,3,95% C.I.: 2.9 - 3.3,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
670,8059011708,"Census Tract 117.08, Jefferson County, Colorado",Jefferson,3222,21,3.5,95% C.I.: 3.3 - 3.7,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
671,8059980000,"Census Tract 9800, Jefferson County, Colorado",Jefferson,0,21,,,"No Estimate, Population < 50",County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),"No Estimate, Population < 50",State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
672,8059011711,"Census Tract 117.11, Jefferson County, Colorado",Jefferson,3434,21,2.9,95% C.I.: 2.8 - 3.1,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
673,8059011951,"Census Tract 119.51, Jefferson County, Colorado",Jefferson,2680,21,3.2,95% C.I.: 3.1 - 3.5,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
674,8059012038,"Census Tract 120.38, Jefferson County, Colorado",Jefferson,2787,21,2.7,95% C.I.: 2.5 - 2.9,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
