OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HealthStatus_Census_Tract_Estimate,HealthStatus_Estimate_Confidence_Interval,HealthStatus_Map_Symbol_withinHSR,HealthStatus_County_Regional_Estimate,HealthStatus_Map_Symbol_State,HealthStatus_State_Estimate
633,8059012031,"Census Tract 120.31, Jefferson County, Colorado",Jefferson,3394,21,10.1,95% C.I.: 9.8 - 10.4,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
634,8059012030,"Census Tract 120.30, Jefferson County, Colorado",Jefferson,3155,21,10.2,95% C.I.: 9.9 - 10.5,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
635,8059009900,"Census Tract 99, Jefferson County, Colorado",Jefferson,2085,21,9.4,95% C.I.: 9.1 - 9.8,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
636,8059009846,"Census Tract 98.46, Jefferson County, Colorado",Jefferson,3407,21,11.5,95% C.I.: 11.2 - 11.8,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
637,8059009847,"Census Tract 98.47, Jefferson County, Colorado",Jefferson,2376,21,10.6,95% C.I.: 10.3 - 10.8,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
638,8059012023,"Census Tract 120.23, Jefferson County, Colorado",Jefferson,2624,21,11,95% C.I.: 10.6 - 11.3,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
639,8059012048,"Census Tract 120.48, Jefferson County, Colorado",Jefferson,1861,21,11.6,95% C.I.: 11.3 - 12,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
640,8059009848,"Census Tract 98.48, Jefferson County, Colorado",Jefferson,2023,21,11.5,95% C.I.: 11.2 - 11.9,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
641,8059009845,"Census Tract 98.45, Jefferson County, Colorado",Jefferson,3311,21,11,95% C.I.: 10.7 - 11.3,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
642,8059009842,"Census Tract 98.42, Jefferson County, Colorado",Jefferson,2678,21,10.3,95% C.I.: 10 - 10.6,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
643,8059012042,"Census Tract 120.42, Jefferson County, Colorado",Jefferson,3156,21,10.8,95% C.I.: 10.5 - 11.2,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
644,8059012058,"Census Tract 120.58, Jefferson County, Colorado",Jefferson,3065,21,10.5,95% C.I.: 10.2 - 10.7,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
645,8059011720,"Census Tract 117.20, Jefferson County, Colorado",Jefferson,4042,21,11.1,95% C.I.: 10.8 - 11.5,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
646,8059012054,"Census Tract 120.54, Jefferson County, Colorado",Jefferson,3188,21,10.6,95% C.I.: 10.3 - 10.9,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
647,8059011803,"Census Tract 118.03, Jefferson County, Colorado",Jefferson,4333,21,10.3,95% C.I.: 9.9 - 10.7,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
648,8059011602,"Census Tract 116.02, Jefferson County, Colorado",Jefferson,3377,21,10.9,95% C.I.: 10.4 - 11.4,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
649,8059010603,"Census Tract 106.03, Jefferson County, Colorado",Jefferson,3067,21,10.2,95% C.I.: 9.9 - 10.6,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
650,8059012039,"Census Tract 120.39, Jefferson County, Colorado",Jefferson,4183,21,9.5,95% C.I.: 9.2 - 9.8,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
651,8059010100,"Census Tract 101, Jefferson County, Colorado",Jefferson,3782,21,9.1,95% C.I.: 8.8 - 9.4,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
652,8059012036,"Census Tract 120.36, Jefferson County, Colorado",Jefferson,2887,21,10.5,95% C.I.: 10.2 - 10.8,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
653,8059012051,"Census Tract 120.51, Jefferson County, Colorado",Jefferson,2720,21,10.8,95% C.I.: 10.5 - 11.1,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
654,8059012055,"Census Tract 120.55, Jefferson County, Colorado",Jefferson,2978,21,10.6,95% C.I.: 10.3 - 10.9,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
655,8059012052,"Census Tract 120.52, Jefferson County, Colorado",Jefferson,4118,21,9.4,95% C.I.: 9.2 - 9.7,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
656,8059012046,"Census Tract 120.46, Jefferson County, Colorado",Jefferson,1608,21,10.5,95% C.I.: 10.2 - 10.9,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
657,8059012024,"Census Tract 120.24, Jefferson County, Colorado",Jefferson,3886,21,10.7,95% C.I.: 10.4 - 11,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
658,8059012022,"Census Tract 120.22, Jefferson County, Colorado",Jefferson,4592,21,9.9,95% C.I.: 9.6 - 10.1,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
659,8059012045,"Census Tract 120.45, Jefferson County, Colorado",Jefferson,4540,21,10.1,95% C.I.: 9.8 - 10.4,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
660,8059011904,"Census Tract 119.04, Jefferson County, Colorado",Jefferson,1856,21,11,95% C.I.: 10.6 - 11.3,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
661,8059011728,"Census Tract 117.28, Jefferson County, Colorado",Jefferson,2271,21,11.1,95% C.I.: 10.8 - 11.5,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
662,8059011702,"Census Tract 117.02, Jefferson County, Colorado",Jefferson,4595,21,10.7,95% C.I.: 10.4 - 11.1,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
663,8059011701,"Census Tract 117.01, Jefferson County, Colorado",Jefferson,3842,21,10.8,95% C.I.: 10.5 - 11.1,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
664,8059012049,"Census Tract 120.49, Jefferson County, Colorado",Jefferson,3046,21,10.7,95% C.I.: 10.4 - 11,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
665,8059011730,"Census Tract 117.30, Jefferson County, Colorado",Jefferson,2724,21,10.3,95% C.I.: 9.9 - 10.8,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
666,8059011727,"Census Tract 117.27, Jefferson County, Colorado",Jefferson,2911,21,12.1,95% C.I.: 11.7 - 12.5,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
667,8059012053,"Census Tract 120.53, Jefferson County, Colorado",Jefferson,3119,21,10,95% C.I.: 9.7 - 10.3,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
668,8059011202,"Census Tract 112.02, Jefferson County, Colorado",Jefferson,4036,21,10,95% C.I.: 9.7 - 10.3,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
669,8059011804,"Census Tract 118.04, Jefferson County, Colorado",Jefferson,3658,21,11.1,95% C.I.: 10.6 - 11.5,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
670,8059011708,"Census Tract 117.08, Jefferson County, Colorado",Jefferson,3222,21,10.6,95% C.I.: 10.3 - 10.9,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
671,8059980000,"Census Tract 9800, Jefferson County, Colorado",Jefferson,0,21,,,"No Estimate, Population < 50",County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),"No Estimate, Population < 50",State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
672,8059011711,"Census Tract 117.11, Jefferson County, Colorado",Jefferson,3434,21,10,95% C.I.: 9.7 - 10.3,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
673,8059011951,"Census Tract 119.51, Jefferson County, Colorado",Jefferson,2680,21,11.4,95% C.I.: 11 - 11.8,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
674,8059012038,"Census Tract 120.38, Jefferson County, Colorado",Jefferson,2787,21,9.9,95% C.I.: 9.6 - 10.3,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
675,8059011725,"Census Tract 117.25, Jefferson County, Colorado",Jefferson,1405,21,10.4,95% C.I.: 10.1 - 10.7,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
676,8059011721,"Census Tract 117.21, Jefferson County, Colorado",Jefferson,2172,21,10.8,95% C.I.: 10.4 - 11.1,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
677,8059012034,"Census Tract 120.34, Jefferson County, Colorado",Jefferson,2911,21,10.9,95% C.I.: 10.6 - 11.1,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
678,8059011710,"Census Tract 117.10, Jefferson County, Colorado",Jefferson,3213,21,10.6,95% C.I.: 10.3 - 11,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
679,8059011709,"Census Tract 117.09, Jefferson County, Colorado",Jefferson,2939,21,9.9,95% C.I.: 9.6 - 10.2,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
680,8059011726,"Census Tract 117.26, Jefferson County, Colorado",Jefferson,5120,21,11.1,95% C.I.: 10.8 - 11.5,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
681,8059011601,"Census Tract 116.01, Jefferson County, Colorado",Jefferson,3020,21,10.2,95% C.I.: 9.8 - 10.7,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
682,8059011731,"Census Tract 117.31, Jefferson County, Colorado",Jefferson,3312,21,9.6,95% C.I.: 9.3 - 9.9,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
683,8059011550,"Census Tract 115.50, Jefferson County, Colorado",Jefferson,4850,21,10.3,95% C.I.: 9.9 - 10.8,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
684,8059011300,"Census Tract 113, Jefferson County, Colorado",Jefferson,2536,21,10.4,95% C.I.: 10 - 10.8,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
685,8059010702,"Census Tract 107.02, Jefferson County, Colorado",Jefferson,4537,21,9.5,95% C.I.: 9.1 - 9.9,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
686,8059010701,"Census Tract 107.01, Jefferson County, Colorado",Jefferson,3814,21,10.9,95% C.I.: 10.5 - 11.3,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
687,8059012043,"Census Tract 120.43, Jefferson County, Colorado",Jefferson,4358,21,10.3,95% C.I.: 10 - 10.6,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
688,8059010502,"Census Tract 105.02, Jefferson County, Colorado",Jefferson,4233,21,11.4,95% C.I.: 11 - 11.7,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
689,8059010604,"Census Tract 106.04, Jefferson County, Colorado",Jefferson,1864,21,9.9,95% C.I.: 9.5 - 10.2,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
690,8059011000,"Census Tract 110, Jefferson County, Colorado",Jefferson,4723,21,10.7,95% C.I.: 10.4 - 11.1,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
691,8059010902,"Census Tract 109.02, Jefferson County, Colorado",Jefferson,2133,21,10.5,95% C.I.: 10 - 10.9,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
692,8059010801,"Census Tract 108.01, Jefferson County, Colorado",Jefferson,2190,21,10.8,95% C.I.: 10.5 - 11.1,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
693,8059010504,"Census Tract 105.04, Jefferson County, Colorado",Jefferson,2282,21,11.2,95% C.I.: 10.9 - 11.6,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
694,8059010503,"Census Tract 105.03, Jefferson County, Colorado",Jefferson,3670,21,11.1,95% C.I.: 10.8 - 11.4,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
695,8059010403,"Census Tract 104.03, Jefferson County, Colorado",Jefferson,4070,21,9.5,95% C.I.: 9.2 - 9.9,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
696,8059012044,"Census Tract 120.44, Jefferson County, Colorado",Jefferson,3158,21,10.5,95% C.I.: 10.1 - 10.9,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
697,8059010308,"Census Tract 103.08, Jefferson County, Colorado",Jefferson,4641,21,10.3,95% C.I.: 10 - 10.7,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
698,8035014112,"Census Tract 141.12, Douglas County, Colorado",Douglas,3041,3,7.2,95% C.I.: 6.9 - 7.6,Second Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
699,8035014110,"Census Tract 141.10, Douglas County, Colorado",Douglas,4210,3,7.1,95% C.I.: 6.8 - 7.6,Second Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
700,8035014109,"Census Tract 141.09, Douglas County, Colorado",Douglas,2328,3,8.5,95% C.I.: 8.1 - 8.9,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
701,8035014108,"Census Tract 141.08, Douglas County, Colorado",Douglas,3567,3,7.7,95% C.I.: 7.4 - 8.1,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
702,8035014202,"Census Tract 142.02, Douglas County, Colorado",Douglas,1487,3,8.1,95% C.I.: 7.8 - 8.6,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
703,8035014116,"Census Tract 141.16, Douglas County, Colorado",Douglas,4737,3,5.8,95% C.I.: 5.5 - 6.3,Lowest Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
704,8035014300,"Census Tract 143, Douglas County, Colorado",Douglas,698,3,8.6,95% C.I.: 8.2 - 9,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
705,8035014107,"Census Tract 141.07, Douglas County, Colorado",Douglas,2774,3,7.5,95% C.I.: 7.2 - 7.8,Middle Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
706,8035014122,"Census Tract 141.22, Douglas County, Colorado",Douglas,4962,3,7.7,95% C.I.: 7.3 - 8,Fourth Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
707,8035014602,"Census Tract 146.02, Douglas County, Colorado",Douglas,2188,3,8.3,95% C.I.: 7.9 - 8.6,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
708,8035013901,"Census Tract 139.01, Douglas County, Colorado",Douglas,6007,3,8.1,95% C.I.: 7.7 - 8.5,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
709,8035014503,"Census Tract 145.03, Douglas County, Colorado",Douglas,4223,3,7.6,95% C.I.: 7.2 - 8.1,Fourth Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
710,8035013909,"Census Tract 139.09, Douglas County, Colorado",Douglas,4640,3,7.5,95% C.I.: 7.1 - 7.9,Fourth Quintile,County/Regional Estimate 7.7% (95% C.I.: 6.2 - 9.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
711,8101003600,"Census Tract 36, Pueblo County, Colorado",Pueblo,1555,7,25.1,95% C.I.: 24 - 26.2,Middle Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
712,8101003500,"Census Tract 35, Pueblo County, Colorado",Pueblo,1697,7,28.3,95% C.I.: 27.1 - 29.5,Fourth Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
713,8101002916,"Census Tract 29.16, Pueblo County, Colorado",Pueblo,2357,7,24.7,95% C.I.: 23.8 - 25.7,Second Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
714,8101002914,"Census Tract 29.14, Pueblo County, Colorado",Pueblo,2439,7,26.2,95% C.I.: 25.2 - 27.3,Middle Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
715,8063962200,"Census Tract 9622, Kit Carson County, Colorado",Kit Carson,1005,5,22.2,95% C.I.: 19.2 - 25.5,Highest Quintile,County/Regional Estimate 27.6% (95% C.I.: 13.9 - 41.3),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
716,8063962300,"Census Tract 9623, Kit Carson County, Colorado",Kit Carson,795,5,22.1,95% C.I.: 19.8 - 24.7,Highest Quintile,County/Regional Estimate 27.6% (95% C.I.: 13.9 - 41.3),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
717,8063962100,"Census Tract 9621, Kit Carson County, Colorado",Kit Carson,4254,5,24.9,95% C.I.: 21.6 - 28.4,Highest Quintile,County/Regional Estimate 27.6% (95% C.I.: 13.9 - 41.3),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
718,8101002912,"Census Tract 29.12, Pueblo County, Colorado",Pueblo,1413,7,24,95% C.I.: 23 - 25,Lowest Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
719,8101980100,"Census Tract 9801, Pueblo County, Colorado",Pueblo,0,7,,,"No Estimate, Population < 50",County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),"No Estimate, Population < 50",State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
720,8101002917,"Census Tract 29.17, Pueblo County, Colorado",Pueblo,2326,7,23.6,95% C.I.: 22.8 - 24.5,Lowest Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
721,8101003106,"Census Tract 31.06, Pueblo County, Colorado",Pueblo,1005,7,26.3,95% C.I.: 25.3 - 27.4,Middle Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
722,8101003105,"Census Tract 31.05, Pueblo County, Colorado",Pueblo,2575,7,24.4,95% C.I.: 23.5 - 25.4,Second Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
723,8101002915,"Census Tract 29.15, Pueblo County, Colorado",Pueblo,1752,7,24.1,95% C.I.: 23.2 - 25,Second Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
724,8101002918,"Census Tract 29.18, Pueblo County, Colorado",Pueblo,4846,7,22.4,95% C.I.: 21.6 - 23.3,Lowest Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
725,8101002913,"Census Tract 29.13, Pueblo County, Colorado",Pueblo,2696,7,23.8,95% C.I.: 22.9 - 24.6,Lowest Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
726,8101002911,"Census Tract 29.11, Pueblo County, Colorado",Pueblo,2035,7,24.7,95% C.I.: 23.8 - 25.6,Second Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
727,8101000903,"Census Tract 9.03, Pueblo County, Colorado",Pueblo,761,7,17.2,95% C.I.: 16.4 - 18.1,Lowest Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
728,8101002600,"Census Tract 26, Pueblo County, Colorado",Pueblo,2707,7,28.5,95% C.I.: 27.3 - 29.8,Highest Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
729,8101002801,"Census Tract 28.01, Pueblo County, Colorado",Pueblo,4090,7,26.9,95% C.I.: 25.8 - 28.2,Fourth Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
730,8101002000,"Census Tract 20, Pueblo County, Colorado",Pueblo,2513,7,29.6,95% C.I.: 28.4 - 30.8,Highest Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
731,8101001800,"Census Tract 18, Pueblo County, Colorado",Pueblo,1794,7,26.3,95% C.I.: 25.3 - 27.4,Middle Quintile,County/Regional Estimate 25.7% (95% C.I.: 22.7 - 28.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
