OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysHealth_Census_Tract_Estimate,PhysHealth_Estimate_Confidence_Interval,PhysHealth_Map_Symbol_withinHSR,PhysHealth_County_Regional_Estimate,PhysHealth_Map_Symbol_State,PhysHealth_State_Estimate
13,8081000500,"Census Tract 5, Moffat County, Colorado",Moffat,3137,11,13.1,95% C.I.: 11.6 - 15.1,Highest Quintile,County/Regional Estimate 12.5% (95% C.I.: 7.5 - 17.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
14,8081000400,"Census Tract 4, Moffat County, Colorado",Moffat,3471,11,11.6,95% C.I.: 10.1 - 13.7,Fourth Quintile,County/Regional Estimate 12.5% (95% C.I.: 7.5 - 17.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
15,8081000300,"Census Tract 3, Moffat County, Colorado",Moffat,2123,11,15.1,95% C.I.: 13.6 - 16.9,Highest Quintile,County/Regional Estimate 12.5% (95% C.I.: 7.5 - 17.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
16,8057955600,"Census Tract 9556, Jackson County, Colorado",Jackson,1082,11,7.5,95% C.I.: 6.5 - 12.1,Fourth Quintile,County/Regional Estimate 9.3% (95% C.I.: 6.5 - 12.2),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
17,8121924100,"Census Tract 9241, Washington County, Colorado",Washington,1455,1,12.8,95% C.I.: 10.7 - 15.8,Highest Quintile,County/Regional Estimate 14.7% (95% C.I.: 3.1 - 26.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
18,8107000800,"Census Tract 8, Routt County, Colorado",Routt,1658,11,6.9,95% C.I.: 5.9 - 8.7,Second Quintile,County/Regional Estimate 7% (95% C.I.: 3.3 - 10.6),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
19,8107000700,"Census Tract 7, Routt County, Colorado",Routt,4215,11,6.6,95% C.I.: 5.6 - 8.3,Lowest Quintile,County/Regional Estimate 7% (95% C.I.: 3.3 - 10.6),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
20,8107000500,"Census Tract 5, Routt County, Colorado",Routt,3589,11,6.6,95% C.I.: 5.8 - 8.2,Second Quintile,County/Regional Estimate 7% (95% C.I.: 3.3 - 10.6),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
21,8107000200,"Census Tract 2, Routt County, Colorado",Routt,1487,11,9.8,95% C.I.: 8.4 - 12.1,Fourth Quintile,County/Regional Estimate 7% (95% C.I.: 3.3 - 10.6),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
22,8107000400,"Census Tract 4, Routt County, Colorado",Routt,2958,11,7.5,95% C.I.: 6.5 - 9.7,Middle Quintile,County/Regional Estimate 7% (95% C.I.: 3.3 - 10.6),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
23,8107000600,"Census Tract 6, Routt County, Colorado",Routt,2509,11,6.9,95% C.I.: 6.1 - 8.3,Middle Quintile,County/Regional Estimate 7% (95% C.I.: 3.3 - 10.6),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
24,8107000300,"Census Tract 3, Routt County, Colorado",Routt,1805,11,6.9,95% C.I.: 6 - 8.3,Second Quintile,County/Regional Estimate 7% (95% C.I.: 3.3 - 10.6),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
25,8107000100,"Census Tract 1, Routt County, Colorado",Routt,1532,11,6.4,95% C.I.: 5.5 - 7.4,Lowest Quintile,County/Regional Estimate 7% (95% C.I.: 3.3 - 10.6),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
26,8051963900,"Census Tract 9639, Gunnison County, Colorado",Gunnison,776,10,8.2,95% C.I.: 6.8 - 10.5,Lowest Quintile,County/Regional Estimate 8.7% (95% C.I.: 4.1 - 13.2),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
27,8051963700,"Census Tract 9637, Gunnison County, Colorado",Gunnison,5729,10,9.8,95% C.I.: 8.5 - 11.9,Second Quintile,County/Regional Estimate 8.7% (95% C.I.: 4.1 - 13.2),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
