OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysHealth_Census_Tract_Estimate,PhysHealth_Estimate_Confidence_Interval,PhysHealth_Map_Symbol_withinHSR,PhysHealth_County_Regional_Estimate,PhysHealth_Map_Symbol_State,PhysHealth_State_Estimate
312,8069000600,"Census Tract 6, Larimer County, Colorado",Larimer,6433,2,5.8,95% C.I.: 5.5 - 6.3,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 7 - 9.5),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
313,8069001009,"Census Tract 10.09, Larimer County, Colorado",Larimer,4613,2,8.5,95% C.I.: 8.1 - 8.8,Fourth Quintile,County/Regional Estimate 8.2% (95% C.I.: 7 - 9.5),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
314,8069000100,"Census Tract 1, Larimer County, Colorado",Larimer,2442,2,6.6,95% C.I.: 6.3 - 7,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 7 - 9.5),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
315,8069002300,"Census Tract 23, Larimer County, Colorado",Larimer,2688,2,8.5,95% C.I.: 8.2 - 8.9,Fourth Quintile,County/Regional Estimate 8.2% (95% C.I.: 7 - 9.5),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
316,8069001602,"Census Tract 16.02, Larimer County, Colorado",Larimer,3864,2,7.7,95% C.I.: 7.3 - 8.2,Second Quintile,County/Regional Estimate 8.2% (95% C.I.: 7 - 9.5),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
317,8069001306,"Census Tract 13.06, Larimer County, Colorado",Larimer,1920,2,7.8,95% C.I.: 7.3 - 8.7,Second Quintile,County/Regional Estimate 8.2% (95% C.I.: 7 - 9.5),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
318,8069001305,"Census Tract 13.05, Larimer County, Colorado",Larimer,1929,2,7.1,95% C.I.: 6.7 - 7.5,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 7 - 9.5),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
319,8059010209,"Census Tract 102.09, Jefferson County, Colorado",Jefferson,4893,21,8.4,95% C.I.: 8.1 - 8.8,Middle Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
320,8059010305,"Census Tract 103.05, Jefferson County, Colorado",Jefferson,3053,21,7.7,95% C.I.: 7.4 - 8,Lowest Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
321,8059009832,"Census Tract 98.32, Jefferson County, Colorado",Jefferson,2276,21,7.9,95% C.I.: 7.6 - 8.2,Lowest Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
322,8059009833,"Census Tract 98.33, Jefferson County, Colorado",Jefferson,4615,21,8.2,95% C.I.: 7.9 - 8.6,Middle Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
323,8059009834,"Census Tract 98.34, Jefferson County, Colorado",Jefferson,3658,21,8.5,95% C.I.: 8.2 - 8.8,Fourth Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
324,8059009831,"Census Tract 98.31, Jefferson County, Colorado",Jefferson,2249,21,8.8,95% C.I.: 8.3 - 9.2,Highest Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
325,8059010210,"Census Tract 102.10, Jefferson County, Colorado",Jefferson,3027,21,8.3,95% C.I.: 8 - 8.6,Middle Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
326,8059010206,"Census Tract 102.06, Jefferson County, Colorado",Jefferson,3251,21,8.1,95% C.I.: 7.9 - 8.4,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
327,8059009835,"Census Tract 98.35, Jefferson County, Colorado",Jefferson,3106,21,8.9,95% C.I.: 8.6 - 9.2,Highest Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
328,8059009828,"Census Tract 98.28, Jefferson County, Colorado",Jefferson,4354,21,8.7,95% C.I.: 8.4 - 9.1,Fourth Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
329,8059010205,"Census Tract 102.05, Jefferson County, Colorado",Jefferson,1951,21,9,95% C.I.: 8.7 - 9.3,Highest Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
330,8059010303,"Census Tract 103.03, Jefferson County, Colorado",Jefferson,4335,21,8.2,95% C.I.: 7.9 - 8.5,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
331,8087000600,"Census Tract 6, Morgan County, Colorado",Morgan,4253,1,9,95% C.I.: 8 - 11.8,Second Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.2 - 12.2),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
332,8087000200,"Census Tract 2, Morgan County, Colorado",Morgan,2217,1,12.3,95% C.I.: 11.1 - 13.8,Highest Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.2 - 12.2),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
333,8087000100,"Census Tract 1, Morgan County, Colorado",Morgan,2135,1,11.2,95% C.I.: 10.2 - 13.1,Fourth Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.2 - 12.2),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
334,8087000500,"Census Tract 5, Morgan County, Colorado",Morgan,1801,1,7.7,95% C.I.: 6.8 - 9.8,Lowest Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.2 - 12.2),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
335,8087000800,"Census Tract 8, Morgan County, Colorado",Morgan,1425,1,11.8,95% C.I.: 10.7 - 13.3,Highest Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.2 - 12.2),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
336,8087000400,"Census Tract 4, Morgan County, Colorado",Morgan,3094,1,10.2,95% C.I.: 9.1 - 11.8,Middle Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.2 - 12.2),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
337,8087000300,"Census Tract 3, Morgan County, Colorado",Morgan,1686,1,10.2,95% C.I.: 9.1 - 12.4,Middle Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.2 - 12.2),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
338,8087000700,"Census Tract 7, Morgan County, Colorado",Morgan,4086,1,10.6,95% C.I.: 9.5 - 12.7,Fourth Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.2 - 12.2),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
339,8059009830,"Census Tract 98.30, Jefferson County, Colorado",Jefferson,1856,21,7.8,95% C.I.: 7.5 - 8.1,Lowest Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
340,8059009829,"Census Tract 98.29, Jefferson County, Colorado",Jefferson,1445,21,7.9,95% C.I.: 7.6 - 8.2,Lowest Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
341,8059010212,"Census Tract 102.12, Jefferson County, Colorado",Jefferson,3435,21,7.7,95% C.I.: 7.4 - 8,Lowest Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
342,8059009824,"Census Tract 98.24, Jefferson County, Colorado",Jefferson,3770,21,7.9,95% C.I.: 7.7 - 8.3,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
343,8059009823,"Census Tract 98.23, Jefferson County, Colorado",Jefferson,3697,21,8.4,95% C.I.: 8.1 - 8.6,Middle Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
344,8059010208,"Census Tract 102.08, Jefferson County, Colorado",Jefferson,4717,21,8.3,95% C.I.: 8 - 8.6,Middle Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
345,8059010213,"Census Tract 102.13, Jefferson County, Colorado",Jefferson,3945,21,8,95% C.I.: 7.7 - 8.3,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
346,8059010304,"Census Tract 103.04, Jefferson County, Colorado",Jefferson,2264,21,8,95% C.I.: 7.7 - 8.2,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
347,8059009839,"Census Tract 98.39, Jefferson County, Colorado",Jefferson,1809,21,8.5,95% C.I.: 8.3 - 8.8,Fourth Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
348,8059060300,"Census Tract 603, Jefferson County, Colorado",Jefferson,3502,21,8.1,95% C.I.: 7.8 - 8.4,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
349,8059060500,"Census Tract 605, Jefferson County, Colorado",Jefferson,4012,21,8.4,95% C.I.: 8.1 - 8.7,Fourth Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
350,8059060400,"Census Tract 604, Jefferson County, Colorado",Jefferson,2736,21,8,95% C.I.: 7.7 - 8.3,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
351,8059009851,"Census Tract 98.51, Jefferson County, Colorado",Jefferson,2885,21,9.1,95% C.I.: 8.8 - 9.3,Highest Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
352,8059009837,"Census Tract 98.37, Jefferson County, Colorado",Jefferson,3003,21,8.7,95% C.I.: 8.4 - 8.9,Fourth Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
353,8059009838,"Census Tract 98.38, Jefferson County, Colorado",Jefferson,4331,21,8.6,95% C.I.: 8.3 - 8.9,Fourth Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
354,8059009827,"Census Tract 98.27, Jefferson County, Colorado",Jefferson,4806,21,8.2,95% C.I.: 7.9 - 8.5,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
355,8059009815,"Census Tract 98.15, Jefferson County, Colorado",Jefferson,4057,21,8.6,95% C.I.: 8.3 - 8.8,Fourth Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
356,8059009808,"Census Tract 98.08, Jefferson County, Colorado",Jefferson,4757,21,8.2,95% C.I.: 7.9 - 8.4,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
357,8059009840,"Census Tract 98.40, Jefferson County, Colorado",Jefferson,3174,21,8.1,95% C.I.: 7.9 - 8.4,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
358,8059009836,"Census Tract 98.36, Jefferson County, Colorado",Jefferson,3227,21,8.8,95% C.I.: 8.5 - 9.1,Highest Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
359,8115968300,"Census Tract 9683, Sedgwick County, Colorado",Sedgwick,1840,1,10.9,95% C.I.: 7.9 - 16,Fourth Quintile,County/Regional Estimate 9.7% (95% C.I.: 2.2 - 17.1),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
360,8059010211,"Census Tract 102.11, Jefferson County, Colorado",Jefferson,2751,21,8.3,95% C.I.: 8 - 8.6,Middle Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
361,8059010307,"Census Tract 103.07, Jefferson County, Colorado",Jefferson,4031,21,8.6,95% C.I.: 8.2 - 8.9,Fourth Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
362,8059010306,"Census Tract 103.06, Jefferson County, Colorado",Jefferson,2419,21,8.2,95% C.I.: 7.9 - 8.5,Second Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
363,8059009841,"Census Tract 98.41, Jefferson County, Colorado",Jefferson,1947,21,8.3,95% C.I.: 8 - 8.6,Middle Quintile,County/Regional Estimate 8.6% (95% C.I.: 7.4 - 9.7),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
364,8095967600,"Census Tract 9676, Phillips County, Colorado",Phillips,2264,1,9.7,95% C.I.: 7.9 - 15.3,Second Quintile,County/Regional Estimate 11.7% (95% C.I.: 4.9 - 18.5),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
365,8095967700,"Census Tract 9677, Phillips County, Colorado",Phillips,985,1,10.1,95% C.I.: 8.3 - 14.3,Middle Quintile,County/Regional Estimate 11.7% (95% C.I.: 4.9 - 18.5),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
366,8013013003,"Census Tract 130.03, Boulder County, Colorado",Boulder,4703,16,7.6,95% C.I.: 7.3 - 7.9,Second Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
367,8013013401,"Census Tract 134.01, Boulder County, Colorado",Boulder,2658,16,8.8,95% C.I.: 8.3 - 9.5,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
368,8013013503,"Census Tract 135.03, Boulder County, Colorado",Boulder,4091,16,8.8,95% C.I.: 8.2 - 9.4,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
369,8013013006,"Census Tract 130.06, Boulder County, Colorado",Boulder,4446,16,7.4,95% C.I.: 7.1 - 7.8,Lowest Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
370,8013012203,"Census Tract 122.03, Boulder County, Colorado",Boulder,6286,16,7.6,95% C.I.: 7.2 - 8,Second Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
371,8013013402,"Census Tract 134.02, Boulder County, Colorado",Boulder,5844,16,9.3,95% C.I.: 8.8 - 9.9,Highest Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
372,8013013210,"Census Tract 132.10, Boulder County, Colorado",Boulder,3845,16,8.6,95% C.I.: 8 - 9.2,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
373,8013013302,"Census Tract 133.02, Boulder County, Colorado",Boulder,3943,16,8,95% C.I.: 7.6 - 8.7,Middle Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
374,8013013307,"Census Tract 133.07, Boulder County, Colorado",Boulder,3060,16,9.3,95% C.I.: 8.8 - 9.8,Highest Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
375,8013013308,"Census Tract 133.08, Boulder County, Colorado",Boulder,2851,16,9,95% C.I.: 8.5 - 9.5,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
376,8013012510,"Census Tract 125.10, Boulder County, Colorado",Boulder,3638,16,7.9,95% C.I.: 7.6 - 8.3,Middle Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
377,8013012907,"Census Tract 129.07, Boulder County, Colorado",Boulder,2608,16,7.7,95% C.I.: 7.4 - 8.1,Middle Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
378,8013013305,"Census Tract 133.05, Boulder County, Colorado",Boulder,4093,16,8.3,95% C.I.: 7.9 - 8.8,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
379,8013060900,"Census Tract 609, Boulder County, Colorado",Boulder,3707,16,7.9,95% C.I.: 7.5 - 8.3,Middle Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
380,8013012509,"Census Tract 125.09, Boulder County, Colorado",Boulder,2559,16,8.3,95% C.I.: 7.9 - 8.8,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
381,8013013208,"Census Tract 132.08, Boulder County, Colorado",Boulder,4640,16,8.4,95% C.I.: 8 - 8.8,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
382,8013012701,"Census Tract 127.01, Boulder County, Colorado",Boulder,4824,16,7.7,95% C.I.: 7.4 - 8,Second Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
383,8013012507,"Census Tract 125.07, Boulder County, Colorado",Boulder,4023,16,6.3,95% C.I.: 5.9 - 6.6,Lowest Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
384,8013012505,"Census Tract 125.05, Boulder County, Colorado",Boulder,3136,16,7.5,95% C.I.: 7.2 - 7.9,Second Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
385,8013013201,"Census Tract 132.01, Boulder County, Colorado",Boulder,1307,16,8.3,95% C.I.: 7.9 - 8.7,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
386,8013013211,"Census Tract 132.11, Boulder County, Colorado",Boulder,4156,16,8,95% C.I.: 7.7 - 8.4,Middle Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
387,8013013207,"Census Tract 132.07, Boulder County, Colorado",Boulder,3612,16,7.7,95% C.I.: 7.3 - 8,Second Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
388,8013012101,"Census Tract 121.01, Boulder County, Colorado",Boulder,3689,16,7.6,95% C.I.: 7.3 - 8,Second Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
389,8013013205,"Census Tract 132.05, Boulder County, Colorado",Boulder,4307,16,8.3,95% C.I.: 7.9 - 8.7,Middle Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
390,8013013306,"Census Tract 133.06, Boulder County, Colorado",Boulder,3643,16,8.7,95% C.I.: 8.3 - 9.2,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
391,8013012201,"Census Tract 122.01, Boulder County, Colorado",Boulder,3663,16,6.8,95% C.I.: 6.5 - 7.1,Lowest Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
392,8013012705,"Census Tract 127.05, Boulder County, Colorado",Boulder,3538,16,7.1,95% C.I.: 6.8 - 7.5,Lowest Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
393,8013012708,"Census Tract 127.08, Boulder County, Colorado",Boulder,4157,16,8,95% C.I.: 7.7 - 8.4,Middle Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
394,8013013601,"Census Tract 136.01, Boulder County, Colorado",Boulder,3141,16,7.6,95% C.I.: 7.3 - 7.9,Second Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
395,8013012710,"Census Tract 127.10, Boulder County, Colorado",Boulder,2778,16,8.3,95% C.I.: 8 - 8.7,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
396,8013013701,"Census Tract 137.01, Boulder County, Colorado",Boulder,5106,16,7.8,95% C.I.: 7.4 - 8.1,Middle Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
397,8013013702,"Census Tract 137.02, Boulder County, Colorado",Boulder,4970,16,7.5,95% C.I.: 7.2 - 7.8,Second Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
398,8013013202,"Census Tract 132.02, Boulder County, Colorado",Boulder,1257,16,8.4,95% C.I.: 8 - 8.7,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
399,8013012204,"Census Tract 122.04, Boulder County, Colorado",Boulder,3951,16,6.7,95% C.I.: 6.4 - 7.1,Lowest Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
400,8013013602,"Census Tract 136.02, Boulder County, Colorado",Boulder,777,16,8.2,95% C.I.: 7.8 - 8.5,Middle Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
401,8013012903,"Census Tract 129.03, Boulder County, Colorado",Boulder,1904,16,8.3,95% C.I.: 8 - 8.7,Fourth Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
402,8013012501,"Census Tract 125.01, Boulder County, Colorado",Boulder,2306,16,7.1,95% C.I.: 6.7 - 7.5,Lowest Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
403,8013012603,"Census Tract 126.03, Boulder County, Colorado",Boulder,2875,16,7.4,95% C.I.: 7.1 - 7.8,Second Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
404,8013012511,"Census Tract 125.11, Boulder County, Colorado",Boulder,5712,16,7.2,95% C.I.: 6.8 - 7.6,Lowest Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
405,8013012709,"Census Tract 127.09, Boulder County, Colorado",Boulder,1482,16,7.9,95% C.I.: 7.6 - 8.2,Middle Quintile,County/Regional Estimate 7.9% (95% C.I.: 6.5 - 9.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
406,8075966300,"Census Tract 9663, Logan County, Colorado",Logan,3656,1,9.9,95% C.I.: 8.6 - 11.9,Middle Quintile,County/Regional Estimate 9% (95% C.I.: 5.5 - 12.4),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
407,8075966200,"Census Tract 9662, Logan County, Colorado",Logan,3442,1,8.1,95% C.I.: 7 - 10.4,Lowest Quintile,County/Regional Estimate 9% (95% C.I.: 5.5 - 12.4),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
408,8075966100,"Census Tract 9661, Logan County, Colorado",Logan,5667,1,11.7,95% C.I.: 10.1 - 13.7,Highest Quintile,County/Regional Estimate 9% (95% C.I.: 5.5 - 12.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
409,8075966000,"Census Tract 9660, Logan County, Colorado",Logan,1659,1,10.3,95% C.I.: 8.9 - 12,Fourth Quintile,County/Regional Estimate 9% (95% C.I.: 5.5 - 12.4),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
410,8075966400,"Census Tract 9664, Logan County, Colorado",Logan,1690,1,8.8,95% C.I.: 7.7 - 11.1,Second Quintile,County/Regional Estimate 9% (95% C.I.: 5.5 - 12.4),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
