OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Fluvax_Census_Tract_Estimate,Fluvax_Estimate_Confidence_Interval,Fluvax_Map_Symbol_withinHSR,Fluvax_County_Regional_Estimate,Fluvax_Map_Symbol_State,Fluvax_State_Estimate
347,8059009839,"Census Tract 98.39, Jefferson County, Colorado",Jefferson,1809,21,45.2,95% C.I.: 44.7 - 45.6,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
348,8059060300,"Census Tract 603, Jefferson County, Colorado",Jefferson,3502,21,43.4,95% C.I.: 42.8 - 44,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
349,8059060500,"Census Tract 605, Jefferson County, Colorado",Jefferson,4012,21,45.5,95% C.I.: 44.9 - 46,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
350,8059060400,"Census Tract 604, Jefferson County, Colorado",Jefferson,2736,21,44.1,95% C.I.: 43.5 - 44.7,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
351,8059009851,"Census Tract 98.51, Jefferson County, Colorado",Jefferson,2885,21,48.6,95% C.I.: 48 - 49.1,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
352,8059009837,"Census Tract 98.37, Jefferson County, Colorado",Jefferson,3003,21,47,95% C.I.: 46.6 - 47.5,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
353,8059009838,"Census Tract 98.38, Jefferson County, Colorado",Jefferson,4331,21,47,95% C.I.: 46.5 - 47.5,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
354,8059009827,"Census Tract 98.27, Jefferson County, Colorado",Jefferson,4806,21,44.4,95% C.I.: 43.9 - 45,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
355,8059009815,"Census Tract 98.15, Jefferson County, Colorado",Jefferson,4057,21,46.9,95% C.I.: 46.5 - 47.4,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
356,8059009808,"Census Tract 98.08, Jefferson County, Colorado",Jefferson,4757,21,44.8,95% C.I.: 44.4 - 45.3,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
357,8059009840,"Census Tract 98.40, Jefferson County, Colorado",Jefferson,3174,21,48.2,95% C.I.: 47.7 - 48.7,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
358,8059009836,"Census Tract 98.36, Jefferson County, Colorado",Jefferson,3227,21,48.1,95% C.I.: 47.6 - 48.6,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
359,8115968300,"Census Tract 9683, Sedgwick County, Colorado",Sedgwick,1840,1,26.8,95% C.I.: 22.3 - 32.8,Highest Qunitile,County/Regional Estimate 33.5% (95% C.I.: 18.6 - 48.4),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
360,8059010211,"Census Tract 102.11, Jefferson County, Colorado",Jefferson,2751,21,48.5,95% C.I.: 47.9 - 49.1,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
361,8059010307,"Census Tract 103.07, Jefferson County, Colorado",Jefferson,4031,21,44.4,95% C.I.: 43.8 - 45,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
362,8059010306,"Census Tract 103.06, Jefferson County, Colorado",Jefferson,2419,21,46.5,95% C.I.: 45.9 - 47.1,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
363,8059009841,"Census Tract 98.41, Jefferson County, Colorado",Jefferson,1947,21,48.1,95% C.I.: 47.5 - 48.6,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
364,8095967600,"Census Tract 9676, Phillips County, Colorado",Phillips,2264,1,40.3,95% C.I.: 35.2 - 45.9,Fourth Quintile,County/Regional Estimate 42.3% (95% C.I.: 30.9 - 53.7),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
365,8095967700,"Census Tract 9677, Phillips County, Colorado",Phillips,985,1,42.5,95% C.I.: 37.9 - 46.9,Second Quintile,County/Regional Estimate 42.3% (95% C.I.: 30.9 - 53.7),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
366,8013013003,"Census Tract 130.03, Boulder County, Colorado",Boulder,4703,16,45.7,95% C.I.: 45.1 - 46.3,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
367,8013013401,"Census Tract 134.01, Boulder County, Colorado",Boulder,2658,16,42.5,95% C.I.: 41.5 - 43.5,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
368,8013013503,"Census Tract 135.03, Boulder County, Colorado",Boulder,4091,16,43,95% C.I.: 42.1 - 44,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
369,8013013006,"Census Tract 130.06, Boulder County, Colorado",Boulder,4446,16,43,95% C.I.: 42.4 - 43.7,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
370,8013012203,"Census Tract 122.03, Boulder County, Colorado",Boulder,6286,16,41.5,95% C.I.: 40.7 - 42.3,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
371,8013013402,"Census Tract 134.02, Boulder County, Colorado",Boulder,5844,16,44.6,95% C.I.: 43.7 - 45.4,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
372,8013013210,"Census Tract 132.10, Boulder County, Colorado",Boulder,3845,16,42.8,95% C.I.: 41.9 - 43.8,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
373,8013013302,"Census Tract 133.02, Boulder County, Colorado",Boulder,3943,16,45.8,95% C.I.: 45.2 - 46.7,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
374,8013013307,"Census Tract 133.07, Boulder County, Colorado",Boulder,3060,16,46.4,95% C.I.: 45.6 - 47.3,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
375,8013013308,"Census Tract 133.08, Boulder County, Colorado",Boulder,2851,16,46.7,95% C.I.: 45.9 - 47.5,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
376,8013012510,"Census Tract 125.10, Boulder County, Colorado",Boulder,3638,16,47,95% C.I.: 46.4 - 47.6,Lowest Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
377,8013012907,"Census Tract 129.07, Boulder County, Colorado",Boulder,2608,16,44.3,95% C.I.: 43.6 - 45.1,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
378,8013013305,"Census Tract 133.05, Boulder County, Colorado",Boulder,4093,16,41.8,95% C.I.: 41 - 42.7,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
379,8013060900,"Census Tract 609, Boulder County, Colorado",Boulder,3707,16,42.2,95% C.I.: 41.5 - 42.9,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
380,8013012509,"Census Tract 125.09, Boulder County, Colorado",Boulder,2559,16,46.5,95% C.I.: 45.8 - 47.2,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
381,8013013208,"Census Tract 132.08, Boulder County, Colorado",Boulder,4640,16,48.6,95% C.I.: 48 - 49.3,Lowest Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
382,8013012701,"Census Tract 127.01, Boulder County, Colorado",Boulder,4824,16,44.5,95% C.I.: 44 - 45.1,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
383,8013012507,"Census Tract 125.07, Boulder County, Colorado",Boulder,4023,16,38.2,95% C.I.: 37.4 - 38.9,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
384,8013012505,"Census Tract 125.05, Boulder County, Colorado",Boulder,3136,16,45.9,95% C.I.: 45.3 - 46.6,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
385,8013013201,"Census Tract 132.01, Boulder County, Colorado",Boulder,1307,16,47.3,95% C.I.: 46.7 - 48,Lowest Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
386,8013013211,"Census Tract 132.11, Boulder County, Colorado",Boulder,4156,16,44.9,95% C.I.: 44.2 - 45.7,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
387,8013013207,"Census Tract 132.07, Boulder County, Colorado",Boulder,3612,16,44.8,95% C.I.: 44.1 - 45.4,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
388,8013012101,"Census Tract 121.01, Boulder County, Colorado",Boulder,3689,16,44.4,95% C.I.: 43.8 - 45,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
389,8013013205,"Census Tract 132.05, Boulder County, Colorado",Boulder,4307,16,44.7,95% C.I.: 44 - 45.4,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
390,8013013306,"Census Tract 133.06, Boulder County, Colorado",Boulder,3643,16,44.5,95% C.I.: 43.7 - 45.3,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
391,8013012201,"Census Tract 122.01, Boulder County, Colorado",Boulder,3663,16,40.5,95% C.I.: 39.8 - 41.1,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
392,8013012705,"Census Tract 127.05, Boulder County, Colorado",Boulder,3538,16,41,95% C.I.: 40.3 - 41.7,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
393,8013012708,"Census Tract 127.08, Boulder County, Colorado",Boulder,4157,16,46.3,95% C.I.: 45.7 - 47,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
394,8013013601,"Census Tract 136.01, Boulder County, Colorado",Boulder,3141,16,45.2,95% C.I.: 44.6 - 45.9,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
395,8013012710,"Census Tract 127.10, Boulder County, Colorado",Boulder,2778,16,48.9,95% C.I.: 48.2 - 49.6,Lowest Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
396,8013013701,"Census Tract 137.01, Boulder County, Colorado",Boulder,5106,16,47,95% C.I.: 46.3 - 47.6,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
397,8013013702,"Census Tract 137.02, Boulder County, Colorado",Boulder,4970,16,43.4,95% C.I.: 42.8 - 43.9,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
398,8013013202,"Census Tract 132.02, Boulder County, Colorado",Boulder,1257,16,48.1,95% C.I.: 47.5 - 48.8,Lowest Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
399,8013012204,"Census Tract 122.04, Boulder County, Colorado",Boulder,3951,16,36.6,95% C.I.: 36 - 37.3,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
400,8013013602,"Census Tract 136.02, Boulder County, Colorado",Boulder,777,16,49.7,95% C.I.: 49.2 - 50.3,Lowest Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
401,8013012903,"Census Tract 129.03, Boulder County, Colorado",Boulder,1904,16,46.4,95% C.I.: 45.7 - 47,Second Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
402,8013012501,"Census Tract 125.01, Boulder County, Colorado",Boulder,2306,16,42,95% C.I.: 41.2 - 42.7,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
403,8013012603,"Census Tract 126.03, Boulder County, Colorado",Boulder,2875,16,44.2,95% C.I.: 43.6 - 44.8,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
404,8013012511,"Census Tract 125.11, Boulder County, Colorado",Boulder,5712,16,43,95% C.I.: 42.2 - 43.9,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
405,8013012709,"Census Tract 127.09, Boulder County, Colorado",Boulder,1482,16,47.3,95% C.I.: 46.7 - 47.9,Lowest Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
406,8075966300,"Census Tract 9663, Logan County, Colorado",Logan,3656,1,44.1,95% C.I.: 41.4 - 47,Lowest Quintile,County/Regional Estimate 39.3% (95% C.I.: 32.6 - 46),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
407,8075966200,"Census Tract 9662, Logan County, Colorado",Logan,3442,1,36.8,95% C.I.: 33.7 - 40.3,Highest Qunitile,County/Regional Estimate 39.3% (95% C.I.: 32.6 - 46),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
408,8075966100,"Census Tract 9661, Logan County, Colorado",Logan,5667,1,40.8,95% C.I.: 38.3 - 43.6,Middle Quintile,County/Regional Estimate 39.3% (95% C.I.: 32.6 - 46),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
409,8075966000,"Census Tract 9660, Logan County, Colorado",Logan,1659,1,41.2,95% C.I.: 38.7 - 43.9,Middle Quintile,County/Regional Estimate 39.3% (95% C.I.: 32.6 - 46),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
410,8075966400,"Census Tract 9664, Logan County, Colorado",Logan,1690,1,43.9,95% C.I.: 40.8 - 46.7,Lowest Quintile,County/Regional Estimate 39.3% (95% C.I.: 32.6 - 46),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
411,8075965900,"Census Tract 9659, Logan County, Colorado",Logan,1094,1,45.4,95% C.I.: 42.2 - 48.5,Lowest Quintile,County/Regional Estimate 39.3% (95% C.I.: 32.6 - 46),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
412,8013060800,"Census Tract 608, Boulder County, Colorado",Boulder,5673,16,43,95% C.I.: 42.2 - 43.9,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
413,8013013507,"Census Tract 135.07, Boulder County, Colorado",Boulder,2609,16,43.8,95% C.I.: 43 - 44.6,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
414,8013013505,"Census Tract 135.05, Boulder County, Colorado",Boulder,3129,16,42.1,95% C.I.: 41.1 - 43.2,Fourth Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
415,8013013212,"Census Tract 132.12, Boulder County, Colorado",Boulder,3622,16,43.9,95% C.I.: 43.1 - 44.7,Middle Quintile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
416,8013061300,"Census Tract 613, Boulder County, Colorado",Boulder,2412,16,42.1,95% C.I.: 41.4 - 42.7,Highest Qunitile,County/Regional Estimate 45.8% (95% C.I.: 42.9 - 48.8),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
