OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Fluvax_Census_Tract_Estimate,Fluvax_Estimate_Confidence_Interval,Fluvax_Map_Symbol_withinHSR,Fluvax_County_Regional_Estimate,Fluvax_Map_Symbol_State,Fluvax_State_Estimate
615,8099000300,"Census Tract 3, Prowers County, Colorado",Prowers,3380,6,37.1,95% C.I.: 33.7 - 40.3,Highest Qunitile,County/Regional Estimate 36.9% (95% C.I.: 29.1 - 44.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
616,8099000600,"Census Tract 6, Prowers County, Colorado",Prowers,1055,6,37.4,95% C.I.: 33.8 - 40.5,Fourth Quintile,County/Regional Estimate 36.9% (95% C.I.: 29.1 - 44.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
617,8059011732,"Census Tract 117.32, Jefferson County, Colorado",Jefferson,4344,21,39.8,95% C.I.: 39.1 - 40.5,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
618,8059011402,"Census Tract 114.02, Jefferson County, Colorado",Jefferson,3646,21,42.9,95% C.I.: 42 - 43.7,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
619,8059015900,"Census Tract 159, Jefferson County, Colorado",Jefferson,2823,21,42.1,95% C.I.: 41.4 - 42.8,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
620,8059009850,"Census Tract 98.50, Jefferson County, Colorado",Jefferson,2050,21,48.7,95% C.I.: 48.2 - 49.1,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
621,8059009852,"Census Tract 98.52, Jefferson County, Colorado",Jefferson,3152,21,47.1,95% C.I.: 46.6 - 47.6,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
622,8059012047,"Census Tract 120.47, Jefferson County, Colorado",Jefferson,3283,21,43.6,95% C.I.: 43 - 44.1,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
623,8059011712,"Census Tract 117.12, Jefferson County, Colorado",Jefferson,3513,21,48.4,95% C.I.: 47.9 - 48.9,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
624,8059010901,"Census Tract 109.01, Jefferson County, Colorado",Jefferson,4020,21,46.2,95% C.I.: 45.7 - 46.8,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
625,8059012032,"Census Tract 120.32, Jefferson County, Colorado",Jefferson,2024,21,49.1,95% C.I.: 48.6 - 49.6,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
626,8059012033,"Census Tract 120.33, Jefferson County, Colorado",Jefferson,2206,21,47.7,95% C.I.: 47.2 - 48.1,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
627,8059009843,"Census Tract 98.43, Jefferson County, Colorado",Jefferson,5982,21,46.3,95% C.I.: 45.9 - 46.8,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
628,8059012027,"Census Tract 120.27, Jefferson County, Colorado",Jefferson,2776,21,48,95% C.I.: 47.5 - 48.5,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
629,8059010405,"Census Tract 104.05, Jefferson County, Colorado",Jefferson,2187,21,43.8,95% C.I.: 43.2 - 44.4,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
630,8059012026,"Census Tract 120.26, Jefferson County, Colorado",Jefferson,2715,21,47.4,95% C.I.: 47 - 47.9,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
631,8059012035,"Census Tract 120.35, Jefferson County, Colorado",Jefferson,3808,21,46.6,95% C.I.: 46.2 - 47.1,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
632,8059012037,"Census Tract 120.37, Jefferson County, Colorado",Jefferson,2956,21,46.6,95% C.I.: 46.1 - 47,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
633,8059012031,"Census Tract 120.31, Jefferson County, Colorado",Jefferson,3394,21,45.3,95% C.I.: 44.8 - 45.8,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
634,8059012030,"Census Tract 120.30, Jefferson County, Colorado",Jefferson,3155,21,46.5,95% C.I.: 46 - 46.9,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
635,8059009900,"Census Tract 99, Jefferson County, Colorado",Jefferson,2085,21,43.4,95% C.I.: 42.8 - 43.9,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
636,8059009846,"Census Tract 98.46, Jefferson County, Colorado",Jefferson,3407,21,50.5,95% C.I.: 50 - 51,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
637,8059009847,"Census Tract 98.47, Jefferson County, Colorado",Jefferson,2376,21,48.5,95% C.I.: 48.1 - 49,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
638,8059012023,"Census Tract 120.23, Jefferson County, Colorado",Jefferson,2624,21,46.3,95% C.I.: 45.8 - 46.9,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
639,8059012048,"Census Tract 120.48, Jefferson County, Colorado",Jefferson,1861,21,52.2,95% C.I.: 51.7 - 52.8,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
640,8059009848,"Census Tract 98.48, Jefferson County, Colorado",Jefferson,2023,21,51.5,95% C.I.: 51 - 52,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
641,8059009845,"Census Tract 98.45, Jefferson County, Colorado",Jefferson,3311,21,50.3,95% C.I.: 49.8 - 50.7,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
642,8059009842,"Census Tract 98.42, Jefferson County, Colorado",Jefferson,2678,21,47,95% C.I.: 46.6 - 47.5,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
643,8059012042,"Census Tract 120.42, Jefferson County, Colorado",Jefferson,3156,21,45,95% C.I.: 44.5 - 45.6,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
644,8059012058,"Census Tract 120.58, Jefferson County, Colorado",Jefferson,3065,21,47.9,95% C.I.: 47.5 - 48.3,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
645,8059011720,"Census Tract 117.20, Jefferson County, Colorado",Jefferson,4042,21,46.4,95% C.I.: 45.8 - 47,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
646,8059012054,"Census Tract 120.54, Jefferson County, Colorado",Jefferson,3188,21,46.9,95% C.I.: 46.4 - 47.5,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
647,8059011803,"Census Tract 118.03, Jefferson County, Colorado",Jefferson,4333,21,42.9,95% C.I.: 42.1 - 43.7,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
648,8059011602,"Census Tract 116.02, Jefferson County, Colorado",Jefferson,3377,21,44.2,95% C.I.: 43.3 - 45.1,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
649,8059010603,"Census Tract 106.03, Jefferson County, Colorado",Jefferson,3067,21,44.4,95% C.I.: 43.7 - 45,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
650,8059012039,"Census Tract 120.39, Jefferson County, Colorado",Jefferson,4183,21,43.1,95% C.I.: 42.5 - 43.6,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
651,8059010100,"Census Tract 101, Jefferson County, Colorado",Jefferson,3782,21,42,95% C.I.: 41.5 - 42.5,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
652,8059012036,"Census Tract 120.36, Jefferson County, Colorado",Jefferson,2887,21,47,95% C.I.: 46.5 - 47.4,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
653,8059012051,"Census Tract 120.51, Jefferson County, Colorado",Jefferson,2720,21,49.4,95% C.I.: 49 - 49.9,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
654,8059012055,"Census Tract 120.55, Jefferson County, Colorado",Jefferson,2978,21,47,95% C.I.: 46.5 - 47.5,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
655,8059012052,"Census Tract 120.52, Jefferson County, Colorado",Jefferson,4118,21,44.7,95% C.I.: 44.2 - 45.2,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
656,8059012046,"Census Tract 120.46, Jefferson County, Colorado",Jefferson,1608,21,45.3,95% C.I.: 44.7 - 45.9,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
657,8059012024,"Census Tract 120.24, Jefferson County, Colorado",Jefferson,3886,21,48,95% C.I.: 47.5 - 48.4,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
658,8059012022,"Census Tract 120.22, Jefferson County, Colorado",Jefferson,4592,21,45.8,95% C.I.: 45.3 - 46.3,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
659,8059012045,"Census Tract 120.45, Jefferson County, Colorado",Jefferson,4540,21,44.8,95% C.I.: 44.4 - 45.3,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
660,8059011904,"Census Tract 119.04, Jefferson County, Colorado",Jefferson,1856,21,48,95% C.I.: 47.4 - 48.7,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
661,8059011728,"Census Tract 117.28, Jefferson County, Colorado",Jefferson,2271,21,48.8,95% C.I.: 48.2 - 49.4,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
662,8059011702,"Census Tract 117.02, Jefferson County, Colorado",Jefferson,4595,21,48.2,95% C.I.: 47.6 - 48.9,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
663,8059011701,"Census Tract 117.01, Jefferson County, Colorado",Jefferson,3842,21,48.2,95% C.I.: 47.6 - 48.7,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
664,8059012049,"Census Tract 120.49, Jefferson County, Colorado",Jefferson,3046,21,46.4,95% C.I.: 45.9 - 47,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
665,8059011730,"Census Tract 117.30, Jefferson County, Colorado",Jefferson,2724,21,42.3,95% C.I.: 41.6 - 42.9,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
666,8059011727,"Census Tract 117.27, Jefferson County, Colorado",Jefferson,2911,21,50.5,95% C.I.: 49.8 - 51.1,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
667,8059012053,"Census Tract 120.53, Jefferson County, Colorado",Jefferson,3119,21,47.2,95% C.I.: 46.7 - 47.7,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
668,8059011202,"Census Tract 112.02, Jefferson County, Colorado",Jefferson,4036,21,44.7,95% C.I.: 44.2 - 45.3,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
669,8059011804,"Census Tract 118.04, Jefferson County, Colorado",Jefferson,3658,21,46.3,95% C.I.: 45.5 - 47,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
670,8059011708,"Census Tract 117.08, Jefferson County, Colorado",Jefferson,3222,21,48,95% C.I.: 47.4 - 48.5,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
671,8059980000,"Census Tract 9800, Jefferson County, Colorado",Jefferson,0,21,,,"No Estimate, Population < 50",County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),"No Estimate, Population < 50",State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
672,8059011711,"Census Tract 117.11, Jefferson County, Colorado",Jefferson,3434,21,45.5,95% C.I.: 45 - 46,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
673,8059011951,"Census Tract 119.51, Jefferson County, Colorado",Jefferson,2680,21,47.8,95% C.I.: 47.1 - 48.4,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
674,8059012038,"Census Tract 120.38, Jefferson County, Colorado",Jefferson,2787,21,44,95% C.I.: 43.4 - 44.6,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
675,8059011725,"Census Tract 117.25, Jefferson County, Colorado",Jefferson,1405,21,47.5,95% C.I.: 47 - 48,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
676,8059011721,"Census Tract 117.21, Jefferson County, Colorado",Jefferson,2172,21,47.5,95% C.I.: 47 - 48,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
677,8059012034,"Census Tract 120.34, Jefferson County, Colorado",Jefferson,2911,21,49.2,95% C.I.: 48.7 - 49.6,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
678,8059011710,"Census Tract 117.10, Jefferson County, Colorado",Jefferson,3213,21,45.3,95% C.I.: 44.6 - 45.9,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
679,8059011709,"Census Tract 117.09, Jefferson County, Colorado",Jefferson,2939,21,45.9,95% C.I.: 45.4 - 46.5,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
680,8059011726,"Census Tract 117.26, Jefferson County, Colorado",Jefferson,5120,21,47.6,95% C.I.: 47 - 48.2,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
681,8059011601,"Census Tract 116.01, Jefferson County, Colorado",Jefferson,3020,21,45.3,95% C.I.: 44.5 - 46.1,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
682,8059011731,"Census Tract 117.31, Jefferson County, Colorado",Jefferson,3312,21,43.7,95% C.I.: 43.1 - 44.2,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
683,8059011550,"Census Tract 115.50, Jefferson County, Colorado",Jefferson,4850,21,43.7,95% C.I.: 43 - 44.4,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
684,8059011300,"Census Tract 113, Jefferson County, Colorado",Jefferson,2536,21,44.1,95% C.I.: 43.4 - 44.8,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
685,8059010702,"Census Tract 107.02, Jefferson County, Colorado",Jefferson,4537,21,42.8,95% C.I.: 42 - 43.5,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
686,8059010701,"Census Tract 107.01, Jefferson County, Colorado",Jefferson,3814,21,47.8,95% C.I.: 47.2 - 48.4,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
687,8059012043,"Census Tract 120.43, Jefferson County, Colorado",Jefferson,4358,21,44.9,95% C.I.: 44.3 - 45.4,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
688,8059010502,"Census Tract 105.02, Jefferson County, Colorado",Jefferson,4233,21,48.1,95% C.I.: 47.5 - 48.7,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
689,8059010604,"Census Tract 106.04, Jefferson County, Colorado",Jefferson,1864,21,45.1,95% C.I.: 44.5 - 45.7,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
690,8059011000,"Census Tract 110, Jefferson County, Colorado",Jefferson,4723,21,45.8,95% C.I.: 45.2 - 46.4,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
691,8059010902,"Census Tract 109.02, Jefferson County, Colorado",Jefferson,2133,21,41.6,95% C.I.: 40.9 - 42.2,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
692,8059010801,"Census Tract 108.01, Jefferson County, Colorado",Jefferson,2190,21,49.1,95% C.I.: 48.6 - 49.6,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
693,8059010504,"Census Tract 105.04, Jefferson County, Colorado",Jefferson,2282,21,51.7,95% C.I.: 51.2 - 52.2,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
694,8059010503,"Census Tract 105.03, Jefferson County, Colorado",Jefferson,3670,21,50,95% C.I.: 49.5 - 50.6,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
695,8059010403,"Census Tract 104.03, Jefferson County, Colorado",Jefferson,4070,21,43.6,95% C.I.: 43 - 44.2,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
696,8059012044,"Census Tract 120.44, Jefferson County, Colorado",Jefferson,3158,21,43.3,95% C.I.: 42.8 - 44,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
697,8059010308,"Census Tract 103.08, Jefferson County, Colorado",Jefferson,4641,21,46,95% C.I.: 45.4 - 46.6,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
698,8035014112,"Census Tract 141.12, Douglas County, Colorado",Douglas,3041,3,49.6,95% C.I.: 48.9 - 50.3,Second Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
699,8035014110,"Census Tract 141.10, Douglas County, Colorado",Douglas,4210,3,47.9,95% C.I.: 47.1 - 48.8,Fourth Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
700,8035014109,"Census Tract 141.09, Douglas County, Colorado",Douglas,2328,3,52.8,95% C.I.: 52.1 - 53.4,Lowest Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
701,8035014108,"Census Tract 141.08, Douglas County, Colorado",Douglas,3567,3,49.3,95% C.I.: 48.7 - 50,Second Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
702,8035014202,"Census Tract 142.02, Douglas County, Colorado",Douglas,1487,3,51.1,95% C.I.: 50.4 - 51.8,Lowest Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
703,8035014116,"Census Tract 141.16, Douglas County, Colorado",Douglas,4737,3,45.8,95% C.I.: 44.8 - 46.8,Highest Qunitile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
704,8035014300,"Census Tract 143, Douglas County, Colorado",Douglas,698,3,54.1,95% C.I.: 53.4 - 54.8,Lowest Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
705,8035014107,"Census Tract 141.07, Douglas County, Colorado",Douglas,2774,3,50.5,95% C.I.: 49.8 - 51.1,Lowest Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
706,8035014122,"Census Tract 141.22, Douglas County, Colorado",Douglas,4962,3,50.6,95% C.I.: 49.9 - 51.2,Lowest Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
707,8035014602,"Census Tract 146.02, Douglas County, Colorado",Douglas,2188,3,52,95% C.I.: 51.3 - 52.7,Lowest Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
708,8035013901,"Census Tract 139.01, Douglas County, Colorado",Douglas,6007,3,50.3,95% C.I.: 49.4 - 51,Second Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
709,8035014503,"Census Tract 145.03, Douglas County, Colorado",Douglas,4223,3,49,95% C.I.: 48.3 - 49.8,Middle Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
710,8035013909,"Census Tract 139.09, Douglas County, Colorado",Douglas,4640,3,48.8,95% C.I.: 48 - 49.5,Middle Quintile,County/Regional Estimate 48.8% (95% C.I.: 45.6 - 51.9),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
711,8101003600,"Census Tract 36, Pueblo County, Colorado",Pueblo,1555,7,48.8,95% C.I.: 47.4 - 50.1,Middle Quintile,County/Regional Estimate 48.7% (95% C.I.: 45.2 - 52.3),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
712,8101003500,"Census Tract 35, Pueblo County, Colorado",Pueblo,1697,7,52.8,95% C.I.: 51.2 - 54.4,Lowest Quintile,County/Regional Estimate 48.7% (95% C.I.: 45.2 - 52.3),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
