OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,NoCheckUp_Census_Tract_Estimate,NoCheckUp_Estimate_Confidence_Interval,NoCheckUp_Map_Symbol_withinHSR,NoCheckUp_County_Regional_Estimate,NoCheckUp_Map_Symbol_State,NoCheckUp_State_Estimate
193,8001008801,"Census Tract 88.01, Adams County, Colorado",Adams,3527,14,40.4,95% C.I.: 39.7 - 41.2,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
194,8001009401,"Census Tract 94.01, Adams County, Colorado",Adams,4091,14,40.8,95% C.I.: 40.1 - 41.5,Middle Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
195,8001009406,"Census Tract 94.06, Adams County, Colorado",Adams,3728,14,40.7,95% C.I.: 40 - 41.4,Middle Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
196,8001008542,"Census Tract 85.42, Adams County, Colorado",Adams,5776,14,42.2,95% C.I.: 41.6 - 42.8,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
197,8001008536,"Census Tract 85.36, Adams County, Colorado",Adams,2157,14,41.7,95% C.I.: 41.1 - 42.3,Fourth Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
198,8001008539,"Census Tract 85.39, Adams County, Colorado",Adams,6295,14,42.7,95% C.I.: 42.1 - 43.4,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
199,8001009327,"Census Tract 93.27, Adams County, Colorado",Adams,3080,14,38.1,95% C.I.: 37.4 - 38.7,Lowest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
200,8001009207,"Census Tract 92.07, Adams County, Colorado",Adams,3592,14,42.9,95% C.I.: 42.2 - 43.5,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
201,8001008548,"Census Tract 85.48, Adams County, Colorado",Adams,1123,14,40.9,95% C.I.: 40.3 - 41.5,Middle Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
202,8001060100,"Census Tract 601, Adams County, Colorado",Adams,5356,14,41.4,95% C.I.: 40.8 - 42.1,Fourth Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
203,8001009410,"Census Tract 94.10, Adams County, Colorado",Adams,2493,14,35.6,95% C.I.: 35 - 36.2,Lowest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
204,8001008802,"Census Tract 88.02, Adams County, Colorado",Adams,3461,14,42.1,95% C.I.: 41.4 - 42.8,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
205,8001008529,"Census Tract 85.29, Adams County, Colorado",Adams,5901,14,40.3,95% C.I.: 39.6 - 41,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
206,8001008534,"Census Tract 85.34, Adams County, Colorado",Adams,3323,14,42,95% C.I.: 41.4 - 42.6,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
207,8001009103,"Census Tract 91.03, Adams County, Colorado",Adams,2537,14,40.6,95% C.I.: 39.9 - 41.3,Middle Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
208,8001008603,"Census Tract 86.03, Adams County, Colorado",Adams,1437,14,40.5,95% C.I.: 39.8 - 41.2,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
209,8001009408,"Census Tract 94.08, Adams County, Colorado",Adams,3336,14,39.8,95% C.I.: 39.2 - 40.3,Lowest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
210,8001008524,"Census Tract 85.24, Adams County, Colorado",Adams,5887,14,39.8,95% C.I.: 39.2 - 40.4,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
211,8001008508,"Census Tract 85.08, Adams County, Colorado",Adams,4198,14,40.9,95% C.I.: 40.3 - 41.5,Middle Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
212,8001008401,"Census Tract 84.01, Adams County, Colorado",Adams,3613,14,40.7,95% C.I.: 40.1 - 41.2,Middle Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
213,8001008523,"Census Tract 85.23, Adams County, Colorado",Adams,6331,14,39.6,95% C.I.: 39 - 40.2,Lowest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
214,8001008402,"Census Tract 84.02, Adams County, Colorado",Adams,3502,14,39.6,95% C.I.: 39.1 - 40.2,Lowest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
215,8069002802,"Census Tract 28.02, Larimer County, Colorado",Larimer,4965,2,31.9,95% C.I.: 31.4 - 32.4,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
216,8069002503,"Census Tract 25.03, Larimer County, Colorado",Larimer,2441,2,37.3,95% C.I.: 36.7 - 37.9,Middle Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
217,8069001608,"Census Tract 16.08, Larimer County, Colorado",Larimer,3601,2,38.1,95% C.I.: 37.5 - 38.7,Middle Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
218,8069001607,"Census Tract 16.07, Larimer County, Colorado",Larimer,2790,2,37,95% C.I.: 36.3 - 37.7,Middle Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
219,8125963100,"Census Tract 9631, Yuma County, Colorado",Yuma,3008,1,51.2,95% C.I.: 47.9 - 54.4,Highest Quintile,County/Regional Estimate 52.3% (95% C.I.: 43.2 - 61.3),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
220,8001008547,"Census Tract 85.47, Adams County, Colorado",Adams,2927,14,42.2,95% C.I.: 41.6 - 42.8,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
221,8001008543,"Census Tract 85.43, Adams County, Colorado",Adams,6102,14,39.1,95% C.I.: 38.5 - 39.8,Lowest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
222,8001008544,"Census Tract 85.44, Adams County, Colorado",Adams,3578,14,41,95% C.I.: 40.3 - 41.6,Middle Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
223,8001008545,"Census Tract 85.45, Adams County, Colorado",Adams,5520,14,40,95% C.I.: 39.4 - 40.6,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
224,8001060000,"Census Tract 600, Adams County, Colorado",Adams,3730,14,40.4,95% C.I.: 39.8 - 40.9,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
225,8001061200,"Census Tract 612, Adams County, Colorado",Adams,1453,14,42.7,95% C.I.: 42.1 - 43.3,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
226,8001008549,"Census Tract 85.49, Adams County, Colorado",Adams,3069,14,42.1,95% C.I.: 41.5 - 42.7,Highest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
227,8001008551,"Census Tract 85.51, Adams County, Colorado",Adams,1027,14,40.4,95% C.I.: 39.8 - 41,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
228,8069001606,"Census Tract 16.06, Larimer County, Colorado",Larimer,2351,2,39.7,95% C.I.: 39 - 40.3,Fourth Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
229,8069000505,"Census Tract 5.05, Larimer County, Colorado",Larimer,3430,2,44.6,95% C.I.: 43.9 - 45.3,Highest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
230,8069000202,"Census Tract 2.02, Larimer County, Colorado",Larimer,1984,2,39.2,95% C.I.: 38.6 - 39.9,Fourth Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
231,8069001307,"Census Tract 13.07, Larimer County, Colorado",Larimer,3409,2,35.8,95% C.I.: 35.1 - 36.5,Second Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
232,8069002801,"Census Tract 28.01, Larimer County, Colorado",Larimer,3238,2,32.2,95% C.I.: 31.7 - 32.8,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
233,8069001808,"Census Tract 18.08, Larimer County, Colorado",Larimer,4097,2,33.2,95% C.I.: 32.7 - 33.8,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
234,8069001605,"Census Tract 16.05, Larimer County, Colorado",Larimer,3844,2,42.1,95% C.I.: 41.4 - 42.8,Highest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
235,8069002502,"Census Tract 25.02, Larimer County, Colorado",Larimer,7265,2,38.2,95% C.I.: 37.6 - 38.8,Fourth Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
236,8069002501,"Census Tract 25.01, Larimer County, Colorado",Larimer,7248,2,35.5,95% C.I.: 34.9 - 36.1,Second Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
237,8069002011,"Census Tract 20.11, Larimer County, Colorado",Larimer,4240,2,35.4,95% C.I.: 34.7 - 36,Second Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
238,8001008550,"Census Tract 85.50, Adams County, Colorado",Adams,6044,14,39.9,95% C.I.: 39.3 - 40.5,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
239,8001008541,"Census Tract 85.41, Adams County, Colorado",Adams,4372,14,36.6,95% C.I.: 36.1 - 37.2,Lowest Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
240,8001008540,"Census Tract 85.40, Adams County, Colorado",Adams,5289,14,41,95% C.I.: 40.4 - 41.6,Middle Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
241,8001008535,"Census Tract 85.35, Adams County, Colorado",Adams,2521,14,41.8,95% C.I.: 41.2 - 42.4,Fourth Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
242,8001008537,"Census Tract 85.37, Adams County, Colorado",Adams,4821,14,41.1,95% C.I.: 40.5 - 41.8,Fourth Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
243,8001008606,"Census Tract 86.06, Adams County, Colorado",Adams,5074,14,40.1,95% C.I.: 39.4 - 40.8,Second Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
244,8001988700,"Census Tract 9887, Adams County, Colorado",Adams,0,14,,,"No Estimate, Population < 50",County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),"No Estimate, Population < 50",State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
245,8001009104,"Census Tract 91.04, Adams County, Colorado",Adams,4066,14,41.4,95% C.I.: 40.7 - 42.1,Fourth Quintile,County/Regional Estimate 39.6% (95% C.I.: 37.1 - 42),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
246,8069002010,"Census Tract 20.10, Larimer County, Colorado",Larimer,2207,2,34.8,95% C.I.: 34.3 - 35.3,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
247,8069001809,"Census Tract 18.09, Larimer County, Colorado",Larimer,8246,2,35.3,95% C.I.: 34.7 - 36,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
248,8069001709,"Census Tract 17.09, Larimer County, Colorado",Larimer,12137,2,36.5,95% C.I.: 35.9 - 37.2,Middle Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
249,8069001708,"Census Tract 17.08, Larimer County, Colorado",Larimer,3054,2,38.6,95% C.I.: 37.9 - 39.3,Fourth Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
