OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,NoCheckUp_Census_Tract_Estimate,NoCheckUp_Estimate_Confidence_Interval,NoCheckUp_Map_Symbol_withinHSR,NoCheckUp_County_Regional_Estimate,NoCheckUp_Map_Symbol_State,NoCheckUp_State_Estimate
250,8069001308,"Census Tract 13.08, Larimer County, Colorado",Larimer,4326,2,36.9,95% C.I.: 36.3 - 37.6,Middle Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
251,8069000802,"Census Tract 8.02, Larimer County, Colorado",Larimer,1037,2,36.4,95% C.I.: 35.8 - 37,Second Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
252,8069000801,"Census Tract 8.01, Larimer County, Colorado",Larimer,1329,2,36.7,95% C.I.: 36 - 37.3,Middle Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
253,8069000506,"Census Tract 5.06, Larimer County, Colorado",Larimer,3000,2,42.1,95% C.I.: 41.4 - 42.7,Highest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
254,8069000504,"Census Tract 5.04, Larimer County, Colorado",Larimer,3041,2,43.4,95% C.I.: 42.8 - 44,Highest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
255,8069000503,"Census Tract 5.03, Larimer County, Colorado",Larimer,5345,2,44.1,95% C.I.: 43.3 - 44.8,Highest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
256,8069000402,"Census Tract 4.02, Larimer County, Colorado",Larimer,2093,2,39.5,95% C.I.: 38.9 - 40.2,Fourth Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
257,8069000401,"Census Tract 4.01, Larimer County, Colorado",Larimer,1716,2,40.6,95% C.I.: 39.9 - 41.2,Highest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
258,8069000201,"Census Tract 2.01, Larimer County, Colorado",Larimer,2817,2,41.5,95% C.I.: 40.9 - 42,Highest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
259,8069001902,"Census Tract 19.02, Larimer County, Colorado",Larimer,3777,2,34.7,95% C.I.: 34.1 - 35.4,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
